Sensor ID, X, Y
S1, 116.66, 76.02
S2, 123.75, 74.60
S3, 102.49, 74.60
S4, 109.57, 74.60
S5, 60.44, 82.38
S6, 88.95, 74.60
S7, 60.44, 90.17
S8, 95.40, 74.60
S9, 74.62, 74.60
S10, 59.81, 105.74
S11, 59.81, 113.52
S12, 81.86, 74.60
S13, 66.11, 113.52
S14, 81.07, 183.57
S15, 73.36, 190.65
S16, 73.36, 182.86
S17, 73.36, 175.08
S18, 73.36, 159.51
S19, 73.36, 151.73
S20, 73.36, 143.95
S21, 73.36, 136.16
S22, 73.36, 128.38
S23, 80.44, 136.16
S24, 87.53, 136.16
S25, 94.61, 136.16
S26, 101.70, 136.16
S27, 109.57, 136.16
S28, 109.57, 143.95
S29, 109.57, 128.38
S30, 109.57, 120.59
S31, 109.57, 112.81
S32, 109.57, 105.03
S33, 116.03, 97.95
S34, 123.75, 90.17
S35, 119.65, 83.09
S36, 133.19, 81.32
S37, 140.44, 81.32
S38, 147.52, 81.32
S39, 73.36, 113.52
S40, 154.61, 81.32
S41, 133.19, 73.54
S42, 133.19, 65.76
S43, 73.36, 120.59
S44, 67.53, 74.60
S45, 60.44, 74.60
S46, 133.19, 57.97
S47, 109.57, 151.73
S48, 109.57, 159.51
S49, 109.57, 166.59
S50, 109.57, 174.37
S51, 109.57, 182.16
S52, 101.70, 177.91
S53, 95.40, 183.57
S54, 88.16, 183.57
S55, 59.81, 97.95
S56, 73.36, 167.30
