Index,Count
1,49
2,40
3,30
4,36
5,43
6,15
7,28
8,83
9,28
10,20
11,2
12,47
13,5
14,40
15,19
16,51
17,97
18,43
19,36
20,2
21,45
22,2
23,1
24,55
25,37
26,55
27,94
28,48
29,36
30,8
31,35
32,8
33,4
34,4
35,54
36,34
37,63
38,102
39,39
40,41
41,14
42,40
43,11
44,2
45,11
46,4
47,49
48,28
49,53
50,101
51,54
52,35
53,6
54,32
55,4
56,6
57,7
58,3
59,10
60,44
61,13
62,54
63,68
64,15
65,37
66,32
67,18
68,3
69,21
70,16
71,2
72,1
73,4
74,5
75,17
76,7
77,18
78,48
79,2
80,19
81,20
82,16
83,2
84,3
85,26
86,1
87,0
88,0
89,1
90,3
91,8
92,1
93,6
94,17
95,1
96,1
97,2
98,3
99,0
100,0
101,0
102,16
103,0
104,0
105,0
106,0
107,1
108,0
109,2
110,1
111,15
112,1
113,6
114,15
115,33
116,4
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,2
128,0
129,4
130,0
131,1
132,2
133,3
134,0
135,36
136,55
137,49
138,0
139,3
140,40
141,40
142,59
143,41
144,36
145,0
146,1
147,43
148,28
149,58
150,36
151,51
152,51
153,47
154,3
155,1
156,5
157,40
158,51
159,66
160,63
161,51
162,57
163,36
164,2
165,45
166,5
167,1
168,2
169,55
170,55
171,74
172,77
173,45
174,42
175,36
176,15
177,35
178,1
179,0
180,4
181,54
182,63
183,71
184,87
185,54
186,37
187,31
188,41
189,27
190,40
191,2
192,3
193,11
194,49
195,53
196,65
197,75
198,44
199,43
200,40
201,35
202,11
203,32
204,4
205,6
206,2
207,7
208,44
209,54
210,48
211,59
212,39
213,15
214,8
215,45
216,68
217,0
218,18
219,9
220,3
221,21
222,16
223,2
224,1
225,1
226,17
227,18
228,18
229,29
230,9
231,2
232,13
233,37
234,45
235,0
236,16
237,1
238,6
239,26
240,9
241,1
242,0
243,1
244,0
245,8
246,6
247,6
248,10
249,2
250,1
251,9
252,2
253,8
254,9
255,0
256,3
257,3
258,0
259,0
260,1
261,16
262,0
263,1
264,0
265,1
266,2
267,1
268,1
269,1
270,1
271,7
272,15
273,33
274,0
275,0
276,4
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,2
287,0
288,0
289,0
290,0
291,1
292,2
293,3
294,0
295,0
296,0
297,1
298,2
299,3
300,5
301,1
302,22
303,51
304,4
305,5
306,40
307,51
308,23
309,51
310,9
311,6
312,2
313,55
314,55
315,94
316,45
317,45
318,15
319,11
320,4
321,54
322,63
323,87
324,102
325,27
326,37
327,16
328,27
329,8
330,11
331,14
332,49
333,53
334,65
335,75
336,101
337,40
338,43
339,8
340,11
341,8
342,7
343,8
344,44
345,54
346,48
347,59
348,68
349,37
350,45
351,9
352,3
353,3
354,16
355,1
356,3
357,17
358,18
359,18
360,29
361,48
362,19
363,37
364,0
365,1
366,6
367,3
368,26
369,1
370,0
371,1
372,8
373,6
374,6
375,10
376,17
377,1
378,8
379,0
380,3
381,3
382,0
383,0
384,0
385,16
386,0
387,0
388,1
389,2
390,1
391,1
392,15
393,6
394,33
395,0
396,4
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,2
406,0
407,0
408,4
409,1
410,3
411,0
412,0
413,1
414,0
415,37
416,0
417,1
418,1
419,46
420,0
421,1
422,1
423,43
424,28
425,51
426,0
427,0
428,3
429,40
430,51
431,55
432,63
433,57
434,0
435,3
436,5
437,11
438,55
439,37
440,55
441,63
442,74
443,77
444,44
445,48
446,42
447,0
448,8
449,1
450,9
451,54
452,34
453,63
454,71
455,87
456,54
457,25
458,8
459,39
460,31
461,0
462,11
463,2
464,10
465,49
466,28
467,53
468,65
469,75
470,44
471,46
472,39
473,20
474,54
475,40
476,0
477,4
478,6
479,10
480,44
481,13
482,54
483,48
484,59
485,39
486,22
487,15
488,8
489,32
490,68
491,0
492,9
493,41
494,16
495,2
496,5
497,17
498,7
499,18
500,18
501,29
502,9
503,4
504,2
505,13
506,20
507,45
508,0
509,1
510,15
511,1
512,0
513,3
514,8
515,1
516,6
517,6
518,10
519,17
520,2
521,0
522,1
523,9
524,2
525,9
526,0
527,3
528,6
529,16
530,0
531,0
532,1
533,0
534,2
535,1
536,1
537,15
538,1
539,1
540,1
541,7
542,15
543,0
544,0
545,4
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,2
554,0
555,0
556,4
557,0
558,0
559,0
560,1
561,2
562,0
563,0
564,0
565,1
566,1
567,0
568,0
569,40
570,5
571,0
572,28
573,83
574,51
575,4
576,1
577,19
578,51
579,55
580,97
581,27
582,51
583,9
584,6
585,1
586,55
587,37
588,55
589,63
590,94
591,77
592,44
593,45
594,15
595,11
596,8
597,0
598,4
599,54
600,34
601,63
602,71
603,102
604,54
605,25
606,37
607,16
608,8
609,11
610,3
611,11
612,49
613,28
614,53
615,65
616,101
617,44
618,39
619,40
620,43
621,8
622,8
623,4
624,2
625,7
626,44
627,13
628,54
629,48
630,68
631,39
632,15
633,37
634,45
635,9
636,3
637,16
638,1
639,1
640,17
641,7
642,18
643,18
644,48
645,9
646,2
647,19
648,37
649,1
650,3
651,1
652,1
653,0
654,8
655,1
656,6
657,6
658,17
659,2
660,1
661,1
662,8
663,3
664,0
665,16
666,1
667,0
668,1
669,0
670,2
671,1
672,15
673,1
674,1
675,6
676,15
677,33
678,1
679,0
680,0
681,0
682,0
683,0
684,1
685,2
686,0
687,4
688,0
689,0
690,1
691,2
692,3
693,1
694,26
695,37
696,3
697,8
698,38
699,46
700,3
701,1
702,2
703,24
704,51
705,2
706,3
707,5
708,7
709,27
710,23
711,57
712,9
713,5
714,2
715,11
716,44
717,45
718,42
719,15
720,15
721,8
722,1
723,4
724,9
725,25
726,27
727,31
728,16
729,8
730,31
731,11
732,2
733,11
734,10
735,75
736,44
737,39
738,40
739,40
740,8
741,8
742,22
743,4
744,6
745,7
746,10
747,59
748,39
749,15
750,37
751,45
752,68
753,9
754,3
755,17
756,16
757,2
758,1
759,4
760,5
761,29
762,9
763,2
764,19
765,37
766,45
767,1
768,3
769,4
770,1
771,0
772,0
773,1
774,3
775,0
776,10
777,2
778,1
779,1
780,8
781,9
782,3
783,0
784,0
785,8
786,16
787,0
788,0
789,0
790,0
791,0
792,1
793,1
794,1
795,1
796,6
797,33
798,0
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,1
814,3
815,0
816,1
817,1
818,1
819,72
820,3
821,0
822,8
823,40
824,72
825,3
826,1
827,2
828,28
829,83
830,22
831,28
832,2
833,1
834,7
835,40
836,51
