Index,Count
1,0.0
2,7.0
3,8.0
4,22.0
5,5.0
6,50.0
7,8.0
8,13.0
9,33.0
10,41.0
11,4.0
12,1.0
13,2.0
14,4.0
15,2.0
16,2.0
17,3.0
18,18.0
19,13.0
20,1.0
21,0.0
22,0.0
23,3.0
24,22.0
25,15.0
26,4.0
27,3.0
28,0.0
29,1.0
30,1.0
31,2.0
32,0.0
33,0.0
34,5.0
35,6.0
36,2.0
37,4.0
38,2.0
39,0.0
40,0.0
41,1.0
42,0.0
43,0.0
44,2.0
45,3.0
46,3.0
47,3.0
48,3.0
49,6.0
50,1.0
51,1.0
52,1.0
53,1.0
54,4.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,3.0
61,2.0
62,2.0
63,2.0
64,3.0
65,0.0
66,0.0
67,0.0
68,0.0
69,3.0
70,2.0
71,0.0
72,1.0
73,0.0
74,6.0
75,0.0
76,0.0
77,0.0
78,1.0
79,2.0
80,4.0
81,2.0
82,0.0
83,0.0
84,1.0
85,0.0
86,6.0
87,5.0
88,0.0
89,4.0
90,0.0
91,6.0
92,1.0
93,0.0
94,2.0
95,0.0
96,5.0
97,11.0
98,7.0
99,0.0
100,3.0
101,0.0
102,0.0
103,1.0
104,3.0
105,1.0
106,3.0
107,0.0
108,5.0
109,1.0
110,1.0
111,0.0
112,1.0
113,0.0
114,1.0
115,2.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,5.0
122,9.0
123,3.0
124,9.0
125,4.0
126,5.0
127,5.0
128,5.0
129,4.0
130,5.0
131,3.0
132,4.0
133,7.0
134,12.0
135,6.0
136,3.0
137,4.0
138,3.0
139,5.0
140,6.0
141,1.0
142,3.0
143,3.0
144,1.0
145,3.0
146,2.0
147,0.0
148,7.0
149,7.0
150,5.0
151,5.0
152,5.0
153,2.0
154,0.0
155,1.0
156,1.0
157,1.0
158,0.0
159,0.0
160,2.0
161,5.0
162,3.0
163,2.0
164,1.0
165,2.0
166,1.0
167,1.0
168,2.0
169,3.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,1.0
176,2.0
177,2.0
178,3.0
179,1.0
180,0.0
181,1.0
182,2.0
183,1.0
184,0.0
185,10.0
186,10.0
187,4.0
188,7.0
189,1.0
190,4.0
191,1.0
192,4.0
193,4.0
194,4.0
195,1.0
196,4.0
197,1.0
198,1.0
199,2.0
200,5.0
201,10.0
202,9.0
203,0.0
204,1.0
205,0.0
206,0.0
207,0.0
208,1.0
209,1.0
210,0.0
211,0.0
212,1.0
213,0.0
214,4.0
215,5.0
216,0.0
217,0.0
218,0.0
219,0.0
220,16.0
221,7.0
222,0.0
223,0.0
224,0.0
225,2.0
226,2.0
227,2.0
228,2.0
229,3.0
230,1.0
231,2.0
232,2.0
233,4.0
234,1.0
235,1.0
236,2.0
237,0.0
238,0.0
239,3.0
240,6.0
241,0.0
242,2.0
243,0.0
244,6.0
245,2.0
246,0.0
247,1.0
248,0.0
249,0.0
250,4.0
251,9.0
252,0.0
253,0.0
254,2.0
255,0.0
256,3.0
257,4.0
258,3.0
259,3.0
260,2.0
261,1.0
262,5.0
263,10.0
264,12.0
265,0.0
266,1.0
267,6.0
268,0.0
269,2.0
270,2.0
271,1.0
272,65.0
273,50.0
274,2.0
275,4.0
276,1.0
277,0.0
278,4.0
279,8.0
280,9.0
281,5.0
282,3.0
283,1.0
284,2.0
285,32.0
286,0.0
287,2.0
288,6.0
289,4.0
290,89.0
291,72.0
292,6.0
293,9.0
294,2.0
295,1.0
296,7.0
297,5.0
298,5.0
299,0.0
300,6.0
301,6.0
302,2.0
303,1.0
304,1.0
305,42.0
306,2.0
307,2.0
308,5.0
309,4.0
310,20.0
311,16.0
312,7.0
313,6.0
314,5.0
315,4.0
316,6.0
317,5.0
318,10.0
319,0.0
320,3.0
321,3.0
322,2.0
323,5.0
324,5.0
325,13.0
326,5.0
327,5.0
328,6.0
329,7.0
330,12.0
331,6.0
332,1.0
333,6.0
334,2.0
335,0.0
336,5.0
337,3.0
338,6.0
339,0.0
340,2.0
341,2.0
342,0.0
343,2.0
344,2.0
345,6.0
346,0.0
347,5.0
348,2.0
349,3.0
350,1.0
351,1.0
352,1.0
353,4.0
354,4.0
355,0.0
356,0.0
357,0.0
358,3.0
359,12.0
360,2.0
361,2.0
362,0.0
363,4.0
364,4.0
365,0.0
366,0.0
367,21.0
368,34.0
369,19.0
370,15.0
371,35.0
372,12.0
373,28.0
374,73.0
375,41.0
376,17.0
377,9.0
378,19.0
379,36.0
380,2.0
381,6.0
382,27.0
383,60.0
384,35.0
385,39.0
386,32.0
387,26.0
388,20.0
389,41.0
390,3.0
391,2.0
392,27.0
393,66.0
394,39.0
395,40.0
396,36.0
397,27.0
398,13.0
399,1.0
400,18.0
401,36.0
402,24.0
403,31.0
404,64.0
405,103.0
406,99.0
407,44.0
408,62.0
409,46.0
410,45.0
411,28.0
412,19.0
413,20.0
414,34.0
415,5.0
416,9.0
417,24.0
418,58.0
419,101.0
420,53.0
421,33.0
422,33.0
423,32.0
424,18.0
425,11.0
426,8.0
427,17.0
428,36.0
429,7.0
430,7.0
431,9.0
432,38.0
433,72.0
434,70.0
435,28.0
436,56.0
437,51.0
438,51.0
439,32.0
440,16.0
441,7.0
442,40.0
443,30.0
444,45.0
445,8.0
446,6.0
447,8.0
448,36.0
449,72.0
450,70.0
451,47.0
452,58.0
453,56.0
454,51.0
455,34.0
456,18.0
457,10.0
458,15.0
459,13.0
460,38.0
461,4.0
462,36.0
463,2.0
464,1.0
465,9.0
466,10.0
467,22.0
468,36.0
469,34.0
470,20.0
471,24.0
472,20.0
473,19.0
474,8.0
475,5.0
476,9.0
477,10.0
478,15.0
479,32.0
480,12.0
481,28.0
482,7.0
483,9.0
484,8.0
485,12.0
486,13.0
487,13.0
488,18.0
489,18.0
490,10.0
491,21.0
492,28.0
493,26.0
494,13.0
495,5.0
496,17.0
497,7.0
498,2.0
499,20.0
500,0.0
501,24.0
502,1.0
503,4.0
504,3.0
505,4.0
506,3.0
507,6.0
508,10.0
509,14.0
510,7.0
511,4.0
512,5.0
513,5.0
514,3.0
515,4.0
516,2.0
517,2.0
518,4.0
519,4.0
520,21.0
521,4.0
522,12.0
523,6.0
524,4.0
525,2.0
526,4.0
527,6.0
528,8.0
529,11.0
530,13.0
531,6.0
532,9.0
533,15.0
534,13.0
535,10.0
536,11.0
537,12.0
538,4.0
539,9.0
540,23.0
541,12.0
542,9.0
543,9.0
544,45.0
545,52.0
546,20.0
547,42.0
548,35.0
549,23.0
550,18.0
551,12.0
552,84.0
553,44.0
554,27.0
555,43.0
556,8.0
557,15.0
558,16.0
559,60.0
560,178.0
561,23.0
562,14.0
563,5.0
564,37.0
565,34.0
566,21.0
567,36.0
568,25.0
569,11.0
570,9.0
571,8.0
572,34.0
573,22.0
574,25.0
575,15.0
576,11.0
577,32.0
578,52.0
579,32.0
580,59.0
581,43.0
582,10.0
583,8.0
584,40.0
585,6.0
586,51.0
587,32.0
588,7.0
589,32.0
590,25.0
591,20.0
592,15.0
593,4.0
594,31.0
595,24.0
596,15.0
597,14.0
598,31.0
599,24.0
600,3.0
601,9.0
602,41.0
603,44.0
604,4.0
605,56.0
606,43.0
607,8.0
608,48.0
609,34.0
610,27.0
611,8.0
612,4.0
613,45.0
614,69.0
615,47.0
616,23.0
617,77.0
618,50.0
619,7.0
620,13.0
621,37.0
622,57.0
623,18.0
624,59.0
625,40.0
626,12.0
627,49.0
628,36.0
629,27.0
630,8.0
631,13.0
632,39.0
633,35.0
634,44.0
635,30.0
636,39.0
637,54.0
638,46.0
639,6.0
640,9.0
641,29.0
642,57.0
643,46.0
644,13.0
645,45.0
646,40.0
647,11.0
648,32.0
649,21.0
650,20.0
651,13.0
652,8.0
653,15.0
654,19.0
655,18.0
656,197.0
657,162.0
658,22.0
659,130.0
660,91.0
661,5.0
662,10.0
663,11.0
664,13.0
