Index,Count
1,31.0
2,42.0
3,30.0
4,35.0
5,55.0
6,28.0
7,53.0
8,84.0
9,37.0
10,30.0
11,27.0
12,45.0
13,24.0
14,57.0
15,40.0
16,71.0
17,179.0
18,58.0
19,53.0
20,21.0
21,36.0
22,19.0
23,25.0
24,52.0
25,38.0
26,77.0
27,184.0
28,67.0
29,54.0
30,28.0
31,35.0
32,20.0
33,27.0
34,37.0
35,88.0
36,38.0
37,94.0
38,173.0
39,68.0
40,38.0
41,13.0
42,59.0
43,74.0
44,6.0
45,10.0
46,27.0
47,57.0
48,44.0
49,94.0
50,226.0
51,63.0
52,56.0
53,12.0
54,36.0
55,15.0
56,5.0
57,3.0
58,11.0
59,17.0
60,54.0
61,43.0
62,69.0
63,113.0
64,49.0
65,36.0
66,50.0
67,50.0
68,11.0
69,34.0
70,22.0
71,11.0
72,9.0
73,21.0
74,24.0
75,21.0
76,16.0
77,20.0
78,41.0
79,15.0
80,11.0
81,27.0
82,22.0
83,4.0
84,5.0
85,8.0
86,25.0
87,8.0
88,13.0
89,12.0
90,11.0
91,10.0
92,5.0
93,8.0
94,12.0
95,11.0
96,8.0
97,3.0
98,10.0
99,4.0
100,4.0
101,4.0
102,11.0
103,0.0
104,3.0
105,3.0
106,6.0
107,8.0
108,4.0
109,4.0
110,6.0
111,10.0
112,2.0
113,0.0
114,6.0
115,9.0
116,7.0
117,2.0
118,3.0
119,5.0
120,5.0
121,0.0
122,0.0
123,0.0
124,3.0
125,2.0
126,2.0
127,5.0
128,5.0
129,7.0
130,4.0
131,4.0
132,0.0
133,9.0
134,3.0
135,44.0
136,55.0
137,30.0
138,7.0
139,13.0
140,68.0
141,68.0
142,89.0
143,43.0
144,31.0
145,5.0
146,10.0
147,54.0
148,59.0
149,84.0
150,48.0
151,29.0
152,25.0
153,29.0
154,3.0
155,5.0
156,8.0
157,40.0
158,43.0
159,60.0
160,45.0
161,22.0
162,20.0
163,21.0
164,12.0
165,14.0
166,14.0
167,15.0
168,17.0
169,68.0
170,66.0
171,85.0
172,41.0
173,18.0
174,18.0
175,47.0
176,23.0
177,27.0
178,8.0
179,10.0
180,14.0
181,71.0
182,85.0
183,92.0
184,113.0
185,50.0
186,20.0
187,22.0
188,35.0
189,21.0
190,36.0
191,6.0
192,5.0
193,7.0
194,58.0
195,71.0
196,82.0
197,104.0
198,54.0
199,37.0
200,25.0
201,45.0
202,25.0
203,45.0
204,89.0
205,6.0
206,8.0
207,10.0
208,49.0
209,58.0
210,62.0
211,78.0
212,22.0
213,13.0
214,90.0
215,62.0
216,40.0
217,0.0
218,38.0
219,16.0
220,9.0
221,10.0
222,33.0
223,0.0
224,2.0
225,5.0
226,16.0
227,15.0
228,23.0
229,25.0
230,23.0
231,11.0
232,36.0
233,14.0
234,10.0
235,0.0
236,8.0
237,4.0
238,0.0
239,8.0
240,9.0
241,3.0
242,0.0
243,0.0
244,1.0
245,5.0
246,10.0
247,17.0
248,22.0
249,7.0
250,4.0
251,3.0
252,7.0
253,10.0
254,9.0
255,0.0
256,2.0
257,2.0
258,3.0
259,5.0
260,4.0
261,2.0
262,0.0
263,0.0
264,1.0
265,5.0
266,10.0
267,17.0
268,21.0
269,9.0
270,9.0
271,4.0
272,5.0
273,8.0
274,6.0
275,0.0
276,3.0
277,1.0
278,25.0
279,34.0
280,21.0
281,8.0
282,0.0
283,2.0
284,4.0
285,8.0
286,9.0
287,9.0
288,13.0
289,1.0
290,0.0
291,13.0
292,2.0
293,49.0
294,45.0
295,0.0
296,18.0
297,8.0
298,1.0
299,2.0
300,1.0
301,1.0
302,2.0
303,3.0
304,6.0
305,1.0
306,5.0
307,2.0
308,8.0
309,15.0
310,0.0
311,1.0
312,4.0
313,13.0
314,11.0
315,20.0
316,8.0
317,6.0
318,3.0
319,3.0
320,5.0
321,8.0
322,5.0
323,5.0
324,4.0
325,0.0
326,8.0
327,2.0
328,5.0
329,5.0
330,2.0
331,2.0
332,5.0
333,7.0
334,5.0
335,7.0
336,6.0
337,0.0
338,6.0
339,4.0
340,2.0
341,1.0
342,5.0
343,2.0
344,11.0
345,10.0
346,9.0
347,10.0
348,11.0
349,2.0
350,8.0
351,3.0
352,0.0
353,1.0
354,0.0
355,3.0
356,0.0
357,4.0
358,3.0
359,3.0
360,4.0
361,6.0
362,3.0
363,1.0
364,0.0
365,0.0
366,0.0
367,1.0
368,2.0
369,8.0
370,6.0
371,10.0
372,9.0
373,9.0
374,6.0
375,9.0
376,7.0
377,0.0
378,3.0
379,0.0
380,6.0
381,1.0
382,0.0
383,3.0
384,1.0
385,1.0
386,2.0
387,1.0
388,7.0
389,10.0
390,7.0
391,11.0
392,9.0
393,2.0
394,2.0
395,0.0
396,8.0
397,1.0
398,0.0
399,2.0
400,1.0
401,0.0
402,2.0
403,0.0
404,3.0
405,3.0
406,3.0
407,3.0
408,5.0
409,0.0
410,3.0
411,0.0
412,2.0
413,0.0
414,0.0
415,4.0
416,0.0
417,2.0
418,1.0
419,6.0
420,0.0
421,3.0
422,0.0
423,9.0
424,5.0
425,7.0
426,0.0
427,2.0
428,2.0
429,10.0
430,10.0
431,10.0
432,1.0
433,7.0
434,0.0
435,1.0
436,2.0
437,3.0
438,2.0
439,0.0
440,0.0
441,0.0
442,0.0
443,5.0
444,2.0
445,20.0
446,1.0
447,0.0
448,1.0
449,0.0
450,2.0
451,3.0
452,4.0
453,3.0
454,6.0
455,7.0
456,9.0
457,4.0
458,4.0
459,19.0
460,5.0
461,0.0
462,0.0
463,0.0
464,1.0
465,3.0
466,0.0
467,2.0
468,2.0
469,2.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,2.0
476,0.0
477,7.0
478,0.0
479,6.0
480,6.0
481,1.0
482,5.0
483,6.0
484,6.0
485,3.0
486,3.0
487,5.0
488,11.0
489,3.0
490,6.0
491,0.0
492,1.0
493,6.0
494,1.0
495,0.0
496,3.0
497,2.0
498,1.0
499,2.0
500,2.0
501,2.0
502,7.0
503,4.0
504,5.0
505,2.0
506,9.0
507,13.0
508,0.0
509,1.0
510,4.0
511,3.0
512,1.0
513,3.0
514,10.0
515,3.0
516,8.0
517,8.0
518,8.0
519,13.0
520,9.0
521,2.0
522,1.0
523,3.0
524,1.0
525,4.0
526,0.0
527,2.0
528,7.0
529,3.0
530,2.0
531,8.0
532,6.0
533,2.0
534,6.0
535,7.0
536,9.0
537,17.0
538,6.0
539,3.0
540,1.0
541,5.0
542,0.0
543,244.0
544,0.0
545,5.0
546,2.0
547,192.0
548,5.0
549,0.0
550,8.0
551,4.0
552,2.0
553,4.0
554,4.0
555,5.0
556,10.0
557,7.0
558,3.0
559,2.0
560,10.0
561,7.0
562,10.0
563,0.0
564,4.0
565,2.0
566,13.0
567,0.0
568,0.0
569,13.0
570,7.0
571,0.0
572,13.0
573,19.0
574,71.0
575,9.0
576,3.0
577,4.0
578,18.0
579,22.0
580,47.0
581,5.0
582,236.0
583,4.0
584,7.0
585,2.0
586,13.0
587,6.0
588,15.0
589,15.0
590,30.0
591,15.0
592,7.0
593,69.0
594,5.0
595,8.0
596,14.0
597,0.0
598,1.0
599,19.0
600,5.0
601,21.0
602,19.0
603,33.0
604,32.0
605,5.0
606,31.0
607,5.0
608,10.0
609,6.0
610,1.0
611,1.0
612,22.0
613,11.0
614,25.0
615,26.0
616,45.0
617,78.0
618,12.0
619,4.0
620,51.0
621,8.0
622,7.0
623,9.0
624,2.0
625,5.0
626,16.0
627,5.0
628,15.0
629,13.0
630,22.0
631,28.0
632,19.0
633,12.0
634,23.0
635,4.0
636,12.0
637,8.0
638,4.0
639,7.0
640,15.0
641,4.0
642,14.0
643,16.0
644,31.0
645,20.0
646,13.0
647,4.0
648,22.0
649,3.0
650,11.0
651,4.0
652,2.0
653,5.0
654,14.0
655,2.0
656,11.0
657,10.0
658,20.0
659,12.0
660,10.0
661,6.0
662,12.0
663,2.0
664,4.0
665,5.0
666,1.0
667,2.0
668,3.0
669,1.0
670,2.0
671,1.0
672,5.0
673,5.0
674,7.0
675,2.0
676,46.0
677,6.0
678,0.0
679,5.0
680,4.0
681,0.0
682,2.0
683,8.0
684,4.0
685,8.0
686,6.0
687,7.0
688,0.0
689,0.0
690,1.0
691,8.0
692,7.0
693,4.0
694,40.0
695,45.0
696,22.0
697,21.0
698,60.0
699,71.0
700,28.0
701,26.0
702,33.0
703,52.0
704,45.0
705,24.0
706,2.0
707,40.0
708,17.0
709,46.0
710,36.0
711,44.0
712,20.0
713,8.0
714,20.0
715,19.0
716,56.0
717,46.0
718,32.0
719,27.0
720,16.0
721,16.0
722,15.0
723,22.0
724,26.0
725,66.0
726,52.0
727,47.0
728,39.0
729,27.0
730,83.0
731,62.0
732,7.0
733,3.0
734,14.0
735,47.0
736,51.0
737,40.0
738,25.0
739,43.0
740,13.0
741,32.0
742,34.0
743,30.0
744,6.0
745,16.0
746,22.0
747,65.0
748,50.0
749,26.0
750,14.0
751,47.0
752,37.0
753,17.0
754,14.0
755,13.0
756,14.0
757,3.0
758,3.0
759,5.0
760,9.0
761,27.0
762,20.0
763,15.0
764,11.0
765,34.0
766,25.0
767,14.0
768,25.0
769,16.0
770,14.0
771,1.0
772,6.0
773,11.0
774,8.0
775,6.0
776,24.0
777,11.0
778,11.0
779,6.0
780,41.0
781,33.0
782,9.0
783,14.0
784,32.0
785,8.0
786,9.0
787,1.0
788,3.0
789,9.0
790,6.0
791,4.0
792,13.0
793,15.0
794,5.0
795,3.0
796,1.0
797,37.0
798,27.0
799,11.0
800,9.0
801,5.0
802,1.0
803,1.0
804,0.0
805,4.0
806,2.0
807,0.0
808,0.0
809,11.0
810,14.0
811,10.0
812,6.0
813,3.0
814,7.0
815,5.0
816,3.0
817,15.0
818,17.0
819,94.0
820,17.0
821,28.0
822,29.0
823,92.0
824,125.0
825,25.0
826,24.0
827,35.0
828,55.0
829,103.0
830,19.0
831,67.0
832,18.0
833,16.0
834,24.0
835,59.0
836,76.0
837,132.0
838,30.0
839,67.0
840,0.0
841,30.0
842,17.0
843,18.0
844,11.0
845,37.0
846,75.0
847,84.0
848,141.0
849,38.0
