Index,Count
1,0.0
2,3.0
3,6.0
4,34.0
5,5.0
6,35.0
7,11.0
8,8.0
9,33.0
10,41.0
11,9.0
12,1.0
13,1.0
14,5.0
15,0.0
16,9.0
17,4.0
18,0.0
19,1.0
20,1.0
21,0.0
22,0.0
23,1.0
24,8.0
25,6.0
26,10.0
27,7.0
28,0.0
29,1.0
30,1.0
31,1.0
32,0.0
33,2.0
34,2.0
35,8.0
36,3.0
37,5.0
38,4.0
39,1.0
40,0.0
41,0.0
42,0.0
43,0.0
44,2.0
45,3.0
46,3.0
47,3.0
48,2.0
49,8.0
50,3.0
51,2.0
52,2.0
53,2.0
54,6.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,4.0
61,5.0
62,2.0
63,2.0
64,5.0
65,0.0
66,2.0
67,1.0
68,4.0
69,5.0
70,0.0
71,0.0
72,0.0
73,1.0
74,7.0
75,0.0
76,0.0
77,1.0
78,1.0
79,2.0
80,6.0
81,3.0
82,0.0
83,2.0
84,1.0
85,0.0
86,2.0
87,4.0
88,0.0
89,3.0
90,0.0
91,7.0
92,1.0
93,0.0
94,2.0
95,0.0
96,5.0
97,13.0
98,9.0
99,0.0
100,5.0
101,0.0
102,0.0
103,1.0
104,3.0
105,0.0
106,2.0
107,0.0
108,6.0
109,1.0
110,1.0
111,0.0
112,1.0
113,0.0
114,0.0
115,2.0
116,0.0
117,1.0
118,1.0
119,0.0
120,0.0
121,4.0
122,9.0
123,4.0
124,8.0
125,5.0
126,11.0
127,5.0
128,5.0
129,4.0
130,5.0
131,2.0
132,1.0
133,4.0
134,8.0
135,6.0
136,3.0
137,6.0
138,4.0
139,5.0
140,6.0
141,0.0
142,3.0
143,3.0
144,1.0
145,3.0
146,2.0
147,3.0
148,7.0
149,7.0
150,5.0
151,5.0
152,5.0
153,0.0
154,0.0
155,3.0
156,3.0
157,2.0
158,0.0
159,1.0
160,2.0
161,5.0
162,2.0
163,1.0
164,1.0
165,2.0
166,0.0
167,1.0
168,0.0
169,3.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,2.0
177,3.0
178,2.0
179,0.0
180,3.0
181,1.0
182,4.0
183,0.0
184,0.0
185,5.0
186,2.0
187,5.0
188,6.0
189,0.0
190,3.0
191,0.0
192,5.0
193,4.0
194,4.0
195,1.0
196,4.0
197,1.0
198,1.0
199,2.0
200,11.0
201,9.0
202,9.0
203,0.0
204,0.0
205,0.0
206,2.0
207,0.0
208,1.0
209,2.0
210,0.0
211,0.0
212,0.0
213,1.0
214,1.0
215,4.0
216,0.0
217,0.0
218,0.0
219,0.0
220,12.0
221,13.0
222,1.0
223,0.0
224,0.0
225,6.0
226,2.0
227,2.0
228,1.0
229,3.0
230,2.0
231,1.0
232,5.0
233,1.0
234,1.0
235,1.0
236,4.0
237,0.0
238,0.0
239,2.0
240,8.0
241,2.0
242,2.0
243,2.0
244,0.0
245,0.0
246,0.0
247,3.0
248,0.0
249,0.0
250,2.0
251,9.0
252,0.0
253,0.0
254,2.0
255,0.0
256,2.0
257,3.0
258,3.0
259,5.0
260,1.0
261,1.0
262,4.0
263,5.0
264,11.0
265,1.0
266,1.0
267,6.0
268,1.0
269,1.0
270,1.0
271,1.0
272,50.0
273,46.0
274,1.0
275,30.0
276,0.0
277,0.0
278,4.0
279,5.0
280,10.0
281,0.0
282,3.0
283,0.0
284,2.0
285,42.0
286,2.0
287,3.0
288,5.0
289,6.0
290,71.0
291,69.0
292,4.0
293,45.0
294,1.0
295,1.0
296,6.0
297,4.0
298,5.0
299,0.0
300,6.0
301,6.0
302,0.0
303,1.0
304,1.0
305,62.0
306,3.0
307,2.0
308,4.0
309,6.0
310,19.0
311,20.0
312,5.0
313,13.0
314,3.0
315,4.0
316,6.0
317,4.0
318,11.0
319,0.0
320,3.0
321,3.0
322,1.0
323,5.0
324,5.0
325,15.0
326,8.0
327,1.0
328,2.0
329,2.0
330,4.0
331,5.0
332,1.0
333,6.0
334,0.0
335,0.0
336,3.0
337,3.0
338,1.0
339,0.0
340,2.0
341,2.0
342,0.0
343,2.0
344,2.0
345,6.0
346,1.0
347,1.0
348,1.0
349,1.0
350,0.0
351,1.0
352,1.0
353,1.0
354,0.0
355,0.0
356,0.0
357,0.0
358,7.0
359,0.0
360,2.0
361,2.0
362,0.0
363,4.0
364,4.0
365,0.0
366,1.0
367,14.0
368,25.0
369,14.0
370,16.0
371,28.0
372,18.0
373,19.0
374,68.0
375,65.0
376,13.0
377,9.0
378,19.0
379,31.0
380,4.0
381,7.0
382,13.0
383,61.0
384,50.0
385,39.0
386,23.0
387,29.0
388,24.0
389,40.0
390,6.0
391,2.0
392,13.0
393,62.0
394,52.0
395,37.0
396,21.0
397,27.0
398,3.0
399,3.0
400,16.0
401,35.0
402,27.0
403,36.0
404,40.0
405,99.0
406,87.0
407,68.0
408,48.0
409,32.0
410,40.0
411,10.0
412,27.0
413,21.0
414,33.0
415,6.0
416,9.0
417,11.0
418,45.0
419,111.0
420,108.0
421,34.0
422,22.0
423,28.0
424,6.0
425,4.0
426,9.0
427,16.0
428,34.0
429,9.0
430,9.0
431,11.0
432,21.0
433,67.0
434,59.0
435,45.0
436,52.0
437,36.0
438,43.0
439,12.0
440,12.0
441,8.0
442,15.0
443,31.0
444,41.0
445,9.0
446,9.0
447,9.0
448,17.0
449,64.0
450,60.0
451,55.0
452,61.0
453,38.0
454,45.0
455,15.0
456,13.0
457,5.0
458,4.0
459,13.0
460,11.0
461,10.0
462,31.0
463,5.0
464,2.0
465,9.0
466,9.0
467,14.0
468,32.0
469,36.0
470,24.0
471,24.0
472,17.0
473,18.0
474,3.0
475,3.0
476,8.0
477,7.0
478,14.0
479,17.0
480,17.0
481,27.0
482,7.0
483,8.0
484,9.0
485,13.0
486,12.0
487,5.0
488,16.0
489,16.0
490,10.0
491,26.0
492,17.0
493,21.0
494,5.0
495,1.0
496,17.0
497,0.0
498,1.0
499,3.0
500,1.0
501,20.0
502,1.0
503,4.0
504,5.0
505,4.0
506,2.0
507,5.0
508,10.0
509,14.0
510,6.0
511,2.0
512,2.0
513,5.0
514,1.0
515,3.0
516,1.0
517,2.0
518,0.0
519,3.0
520,13.0
521,8.0
522,10.0
523,6.0
524,4.0
525,2.0
526,4.0
527,5.0
528,3.0
529,8.0
530,14.0
531,7.0
532,10.0
533,8.0
534,13.0
535,4.0
536,11.0
537,11.0
538,4.0
