Index,Count
1,23.0
2,34.0
3,24.0
4,31.0
5,38.0
6,41.0
7,55.0
8,58.0
9,32.0
10,24.0
11,37.0
12,41.0
13,27.0
14,45.0
15,54.0
16,68.0
17,111.0
18,56.0
19,42.0
20,30.0
21,33.0
22,26.0
23,25.0
24,43.0
25,57.0
26,70.0
27,115.0
28,74.0
29,39.0
30,24.0
31,31.0
32,23.0
33,32.0
34,39.0
35,68.0
36,62.0
37,85.0
38,104.0
39,36.0
40,33.0
41,14.0
42,62.0
43,72.0
44,7.0
45,32.0
46,41.0
47,48.0
48,62.0
49,81.0
50,139.0
51,39.0
52,44.0
53,23.0
54,33.0
55,15.0
56,8.0
57,9.0
58,13.0
59,13.0
60,41.0
61,55.0
62,64.0
63,74.0
64,59.0
65,36.0
66,44.0
67,39.0
68,11.0
69,28.0
70,21.0
71,15.0
72,20.0
73,17.0
74,21.0
75,16.0
76,20.0
77,21.0
78,29.0
79,14.0
80,11.0
81,11.0
82,15.0
83,2.0
84,3.0
85,7.0
86,26.0
87,12.0
88,16.0
89,15.0
90,11.0
91,7.0
92,9.0
93,8.0
94,9.0
95,5.0
96,8.0
97,3.0
98,10.0
99,3.0
100,4.0
101,4.0
102,10.0
103,0.0
104,3.0
105,5.0
106,5.0
107,4.0
108,5.0
109,5.0
110,6.0
111,8.0
112,2.0
113,0.0
114,2.0
115,5.0
116,4.0
117,1.0
118,3.0
119,5.0
120,5.0
121,0.0
122,0.0
123,2.0
124,2.0
125,1.0
126,2.0
127,2.0
128,5.0
129,3.0
130,2.0
131,4.0
132,1.0
133,4.0
134,3.0
135,31.0
136,64.0
137,24.0
138,11.0
139,14.0
140,45.0
141,59.0
142,89.0
143,24.0
144,24.0
145,8.0
146,18.0
147,39.0
148,58.0
149,100.0
150,46.0
151,20.0
152,10.0
153,23.0
154,5.0
155,6.0
156,9.0
157,27.0
158,40.0
159,74.0
160,41.0
161,18.0
162,5.0
163,22.0
164,12.0
165,10.0
166,17.0
167,19.0
168,26.0
169,49.0
170,63.0
171,94.0
172,30.0
173,9.0
174,8.0
175,33.0
176,24.0
177,20.0
178,10.0
179,13.0
180,22.0
181,44.0
182,77.0
183,108.0
184,131.0
185,43.0
186,15.0
187,4.0
188,33.0
189,25.0
190,28.0
191,7.0
192,8.0
193,13.0
194,35.0
195,67.0
196,104.0
197,128.0
198,46.0
199,25.0
200,7.0
201,42.0
202,21.0
203,36.0
204,93.0
205,11.0
206,8.0
207,20.0
208,32.0
209,56.0
210,77.0
211,88.0
212,19.0
213,12.0
214,84.0
215,32.0
216,26.0
217,18.0
218,32.0
219,23.0
220,9.0
221,10.0
222,31.0
223,1.0
224,2.0
225,13.0
226,12.0
227,15.0
228,27.0
229,34.0
230,18.0
231,16.0
232,34.0
233,10.0
234,6.0
235,28.0
236,7.0
237,5.0
238,0.0
239,4.0
240,7.0
241,2.0
242,0.0
243,0.0
244,0.0
245,0.0
246,7.0
247,21.0
248,31.0
249,2.0
250,4.0
251,2.0
252,5.0
253,7.0
254,8.0
255,4.0
256,2.0
257,2.0
258,3.0
259,2.0
260,3.0
261,3.0
262,1.0
263,1.0
264,1.0
265,1.0
266,6.0
267,21.0
268,33.0
269,7.0
270,6.0
271,3.0
272,7.0
273,5.0
274,5.0
275,3.0
276,3.0
277,3.0
278,23.0
279,24.0
280,18.0
281,10.0
282,1.0
283,3.0
284,6.0
285,7.0
286,9.0
287,13.0
288,17.0
289,13.0
290,5.0
291,10.0
292,13.0
293,26.0
294,24.0
295,11.0
296,12.0
297,12.0
298,0.0
299,0.0
300,1.0
301,0.0
302,2.0
303,1.0
304,5.0
305,2.0
306,2.0
307,2.0
308,6.0
309,7.0
310,0.0
311,1.0
312,2.0
313,8.0
314,10.0
315,9.0
316,8.0
317,1.0
318,4.0
319,3.0
320,6.0
321,4.0
322,3.0
323,4.0
324,1.0
325,0.0
326,5.0
327,2.0
328,3.0
329,4.0
330,2.0
331,3.0
332,5.0
333,6.0
334,7.0
335,5.0
336,3.0
337,0.0
338,6.0
339,4.0
340,2.0
341,1.0
342,2.0
343,2.0
344,6.0
345,7.0
346,12.0
347,5.0
348,2.0
349,2.0
350,4.0
351,6.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,3.0
360,3.0
361,4.0
362,3.0
363,1.0
364,0.0
365,0.0
366,0.0
367,0.0
368,2.0
369,8.0
370,7.0
371,12.0
372,7.0
373,9.0
374,8.0
375,4.0
376,1.0
377,0.0
378,3.0
379,10.0
380,4.0
381,4.0
382,0.0
383,0.0
384,1.0
385,2.0
386,1.0
387,1.0
388,5.0
389,7.0
390,10.0
391,5.0
392,3.0
393,2.0
394,1.0
395,0.0
396,6.0
397,5.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,2.0
406,3.0
407,2.0
408,2.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,1.0
415,2.0
416,2.0
417,2.0
418,2.0
419,2.0
420,5.0
421,3.0
422,0.0
423,3.0
424,4.0
425,6.0
426,3.0
427,3.0
428,2.0
429,3.0
430,7.0
431,5.0
432,3.0
433,2.0
434,2.0
435,1.0
436,2.0
437,2.0
438,0.0
439,0.0
440,0.0
441,2.0
442,2.0
443,7.0
444,4.0
445,8.0
446,1.0
447,16.0
448,2.0
449,1.0
450,1.0
451,1.0
452,4.0
453,3.0
454,8.0
455,11.0
456,7.0
457,5.0
458,3.0
459,9.0
460,3.0
461,18.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,1.0
468,2.0
469,2.0
470,1.0
471,1.0
472,1.0
473,0.0
474,1.0
475,2.0
476,1.0
477,8.0
478,2.0
479,7.0
480,2.0
481,1.0
482,3.0
483,9.0
484,9.0
485,0.0
486,1.0
487,3.0
488,9.0
489,2.0
490,4.0
491,3.0
492,1.0
493,5.0
494,2.0
495,0.0
496,1.0
497,0.0
498,1.0
499,2.0
500,3.0
501,1.0
502,15.0
503,9.0
504,7.0
505,2.0
506,6.0
507,8.0
508,9.0
509,1.0
510,2.0
511,3.0
512,1.0
513,2.0
514,5.0
515,5.0
516,7.0
517,8.0
518,8.0
519,8.0
520,15.0
521,7.0
522,5.0
523,3.0
