Index,Count
1,33
2,34
3,25
4,34
5,37
6,38
7,49
8,65
9,24
10,22
11,21
12,44
13,24
14,42
15,51
16,71
17,107
18,39
19,42
20,17
21,37
22,20
23,21
24,42
25,53
26,74
27,111
28,45
29,42
30,22
31,33
32,20
33,24
34,33
35,68
36,58
37,90
38,105
39,40
40,31
41,12
42,58
43,63
44,7
45,18
46,36
47,39
48,53
49,84
50,125
51,40
52,42
53,9
54,32
55,12
56,8
57,6
58,11
59,15
60,37
61,47
62,67
63,74
64,39
65,35
66,29
67,34
68,10
69,29
70,22
71,12
72,11
73,18
74,16
75,16
76,19
77,23
78,33
79,10
80,13
81,16
82,15
83,3
84,4
85,13
86,22
87,9
88,11
89,13
90,6
91,7
92,6
93,9
94,12
95,7
96,6
97,4
98,8
99,2
100,3
101,4
102,13
103,0
104,1
105,5
106,3
107,4
108,6
109,5
110,4
111,9
112,1
113,1
114,6
115,13
116,5
117,2
118,2
119,5
120,4
121,0
122,0
123,3
124,2
125,1
126,2
127,3
128,3
129,3
130,2
131,3
132,1
133,5
134,2
135,31
136,64
137,33
138,10
139,12
140,41
141,57
142,89
143,29
144,31
145,5
146,12
147,39
148,49
149,100
150,39
151,29
152,20
153,31
154,4
155,5
156,9
157,30
158,43
159,74
160,39
161,25
162,18
163,25
164,11
165,20
166,16
167,14
168,20
169,49
170,60
171,104
172,44
173,21
174,19
175,38
176,24
177,26
178,8
179,9
180,19
181,50
182,70
183,110
184,146
185,51
186,20
187,12
188,33
189,26
190,36
191,7
192,8
193,12
194,41
195,58
196,104
197,145
198,48
199,28
200,15
201,39
202,19
203,37
204,87
205,8
206,7
207,13
208,37
209,53
210,75
211,99
212,24
213,14
214,80
215,36
216,33
217,17
218,31
219,15
220,8
221,13
222,30
223,1
224,2
225,7
226,14
227,15
228,25
229,38
230,15
231,12
232,34
233,16
234,16
235,27
236,11
237,4
238,2
239,10
240,8
241,2
242,0
243,1
244,0
245,4
246,3
247,21
248,40
249,4
250,5
251,5
252,4
253,8
254,8
255,5
256,3
257,3
258,3
259,3
260,2
261,5
262,1
263,2
264,1
265,2
266,4
267,19
268,35
269,5
270,7
271,4
272,8
273,12
274,5
275,3
276,3
277,1
278,19
279,19
280,13
281,7
282,1
283,2
284,6
285,4
286,6
287,11
288,18
289,10
290,0
291,10
292,13
293,22
294,20
295,1
296,11
297,8
298,1
299,1
300,3
301,0
302,7
303,15
304,6
305,2
306,12
307,15
308,11
309,19
310,2
311,3
312,3
313,19
314,23
315,32
316,18
317,14
318,8
319,6
320,6
321,16
322,19
323,22
324,26
325,7
326,14
327,6
328,10
329,6
330,5
331,7
332,15
333,18
334,21
335,18
336,27
337,11
338,14
339,6
340,4
341,3
342,5
343,5
344,15
345,21
346,21
347,14
348,18
349,11
350,15
351,7
352,1
353,1
354,4
355,1
356,2
357,5
358,6
359,6
360,7
361,15
362,7
363,9
364,0
365,1
366,2
367,1
368,8
369,8
370,6
371,9
372,7
373,8
374,8
375,2
376,5
377,1
378,4
379,12
380,5
381,3
382,1
383,1
384,1
385,5
386,1
387,1
388,3
389,7
390,7
391,0
392,6
393,3
394,9
395,0
396,6
397,3
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,2
406,2
407,0
408,2
409,0
410,2
411,0
412,1
413,1
414,1
415,10
416,2
417,2
418,3
419,14
420,4
421,3
422,1
423,14
424,10
425,18
426,3
427,3
428,3
429,13
430,19
431,21
432,18
433,17
434,2
435,2
436,3
437,4
438,14
439,9
440,13
441,16
442,20
443,26
444,13
445,20
446,12
447,17
448,4
449,1
450,4
451,14
452,12
453,18
454,23
455,30
456,19
457,9
458,4
459,19
460,10
461,16
462,3
463,1
464,3
465,13
466,8
467,14
468,17
469,20
470,11
