Index,Count
1,30.0
2,42.0
3,26.0
4,33.0
5,53.0
6,31.0
7,61.0
8,110.0
9,35.0
10,24.0
11,24.0
12,46.0
13,21.0
14,57.0
15,42.0
16,75.0
17,159.0
18,53.0
19,44.0
20,21.0
21,40.0
22,16.0
23,21.0
24,52.0
25,38.0
26,81.0
27,163.0
28,63.0
29,50.0
30,25.0
31,36.0
32,13.0
33,21.0
34,29.0
35,88.0
36,43.0
37,101.0
38,170.0
39,63.0
40,29.0
41,10.0
42,61.0
43,45.0
44,10.0
45,10.0
46,23.0
47,55.0
48,40.0
49,102.0
50,167.0
51,55.0
52,47.0
53,8.0
54,35.0
55,9.0
56,5.0
57,3.0
58,10.0
59,15.0
60,53.0
61,39.0
62,72.0
63,139.0
64,45.0
65,46.0
66,48.0
67,50.0
68,11.0
69,32.0
70,15.0
71,17.0
72,8.0
73,18.0
74,21.0
75,20.0
76,17.0
77,25.0
78,45.0
79,16.0
80,15.0
81,25.0
82,14.0
83,4.0
84,5.0
85,8.0
86,19.0
87,10.0
88,11.0
89,8.0
90,10.0
91,10.0
92,4.0
93,12.0
94,12.0
95,11.0
96,12.0
97,7.0
98,12.0
99,4.0
100,4.0
101,6.0
102,7.0
103,0.0
104,3.0
105,3.0
106,6.0
107,8.0
108,4.0
109,6.0
110,6.0
111,6.0
112,0.0
113,0.0
114,6.0
115,10.0
116,7.0
117,2.0
118,3.0
119,6.0
120,1.0
121,1.0
122,0.0
123,0.0
124,3.0
125,2.0
126,1.0
127,5.0
128,5.0
129,5.0
130,5.0
131,5.0
132,1.0
133,9.0
134,4.0
135,43.0
136,64.0
137,32.0
138,8.0
139,12.0
140,67.0
141,77.0
142,92.0
143,34.0
144,37.0
145,5.0
146,8.0
147,53.0
148,63.0
149,94.0
150,41.0
151,39.0
152,30.0
153,29.0
154,5.0
155,5.0
156,7.0
157,39.0
158,44.0
159,64.0
160,34.0
161,32.0
162,21.0
163,21.0
164,12.0
165,15.0
166,16.0
167,14.0
168,16.0
169,68.0
170,68.0
171,93.0
172,37.0
173,22.0
174,18.0
175,46.0
176,24.0
177,30.0
178,10.0
179,9.0
180,13.0
181,70.0
182,91.0
183,88.0
184,116.0
185,43.0
186,33.0
187,21.0
188,27.0
189,21.0
190,41.0
191,7.0
192,5.0
193,6.0
194,56.0
195,79.0
196,81.0
197,110.0
198,45.0
199,47.0
200,35.0
201,39.0
202,25.0
203,57.0
204,60.0
205,9.0
206,8.0
207,10.0
208,49.0
209,63.0
210,59.0
211,77.0
212,17.0
213,14.0
214,89.0
215,71.0
216,58.0
217,0.0
218,31.0
219,15.0
220,12.0
221,14.0
222,21.0
223,3.0
224,2.0
225,4.0
226,16.0
227,18.0
228,18.0
229,27.0
230,19.0
231,13.0
232,32.0
233,17.0
234,14.0
235,0.0
236,7.0
237,5.0
238,1.0
239,7.0
240,9.0
241,0.0
242,1.0
243,0.0
244,1.0
245,5.0
246,12.0
247,17.0
248,28.0
249,7.0
250,4.0
251,3.0
252,7.0
253,8.0
254,10.0
255,0.0
256,2.0
257,2.0
258,5.0
259,6.0
260,3.0
261,1.0
262,3.0
263,0.0
264,1.0
265,5.0
266,11.0
267,17.0
268,25.0
269,8.0
270,9.0
271,4.0
272,7.0
273,7.0
274,8.0
275,0.0
276,3.0
277,1.0
278,24.0
279,47.0
280,20.0
281,4.0
282,2.0
283,2.0
284,4.0
285,7.0
286,10.0
287,9.0
288,16.0
289,1.0
290,0.0
291,12.0
292,2.0
293,62.0
