Index,Count
1,26.0
2,31.0
3,23.0
4,27.0
5,37.0
6,44.0
7,53.0
8,76.0
9,37.0
10,21.0
11,28.0
12,43.0
13,33.0
14,45.0
15,53.0
16,72.0
17,111.0
18,71.0
19,36.0
20,21.0
21,33.0
22,23.0
23,27.0
24,41.0
25,47.0
26,73.0
27,116.0
28,85.0
29,40.0
30,26.0
31,31.0
32,18.0
33,31.0
34,38.0
35,70.0
36,52.0
37,93.0
38,124.0
39,50.0
40,23.0
41,11.0
42,51.0
43,73.0
44,8.0
45,14.0
46,32.0
47,37.0
48,54.0
49,92.0
50,119.0
51,57.0
52,39.0
53,11.0
54,33.0
55,13.0
56,11.0
57,3.0
58,16.0
59,17.0
60,42.0
61,53.0
62,68.0
63,95.0
64,55.0
65,29.0
66,54.0
67,40.0
68,13.0
69,31.0
70,15.0
71,19.0
72,10.0
73,25.0
74,22.0
75,15.0
76,21.0
77,23.0
78,34.0
79,17.0
80,10.0
81,16.0
82,14.0
83,4.0
84,5.0
85,7.0
86,28.0
87,11.0
88,16.0
89,10.0
90,7.0
91,7.0
92,7.0
93,10.0
94,12.0
95,9.0
96,9.0
97,5.0
98,10.0
99,3.0
100,4.0
101,6.0
102,10.0
103,1.0
104,3.0
105,4.0
106,7.0
107,5.0
108,8.0
109,8.0
110,6.0
111,2.0
112,2.0
113,0.0
114,3.0
115,10.0
116,5.0
117,2.0
118,3.0
119,6.0
120,2.0
121,0.0
122,0.0
123,0.0
124,4.0
125,2.0
126,3.0
127,3.0
128,5.0
129,1.0
130,3.0
131,4.0
132,1.0
133,9.0
134,3.0
135,33.0
136,72.0
137,25.0
138,17.0
139,15.0
140,52.0
141,73.0
142,107.0
143,27.0
144,30.0
145,9.0
146,15.0
147,41.0
148,58.0
149,112.0
150,40.0
151,30.0
152,13.0
153,25.0
154,7.0
155,8.0
156,10.0
157,28.0
158,47.0
159,81.0
160,31.0
161,29.0
162,8.0
163,18.0
164,13.0
165,11.0
166,25.0
167,22.0
168,20.0
169,51.0
170,69.0
171,113.0
172,32.0
173,12.0
174,13.0
175,37.0
176,28.0
177,23.0
178,14.0
179,18.0
180,16.0
181,51.0
182,81.0
183,27.0
184,146.0
185,45.0
186,25.0
187,11.0
188,24.0
189,23.0
190,36.0
191,13.0
192,10.0
193,10.0
194,40.0
195,65.0
196,22.0
197,153.0
198,46.0
199,39.0
200,14.0
201,36.0
202,25.0
203,40.0
204,146.0
205,12.0
206,12.0
207,14.0
208,38.0
209,54.0
210,16.0
211,104.0
212,17.0
213,14.0
214,109.0
215,45.0
216,29.0
217,15.0
218,38.0
219,16.0
220,13.0
221,12.0
222,32.0
223,2.0
224,6.0
225,4.0
226,14.0
227,15.0
228,1.0
229,40.0
230,17.0
231,13.0
232,55.0
233,13.0
234,8.0
235,28.0
236,10.0
237,3.0
238,0.0
239,6.0
240,10.0
241,3.0
242,0.0
243,1.0
244,1.0
245,4.0
246,3.0
247,1.0
248,50.0
249,4.0
250,4.0
251,5.0
252,6.0
253,6.0
254,7.0
255,5.0
256,2.0
257,5.0
258,5.0
259,4.0
260,2.0
261,1.0
262,2.0
263,5.0
264,2.0
265,2.0
266,7.0
267,7.0
268,36.0
269,7.0
270,9.0
271,6.0
272,7.0
273,4.0
274,7.0
275,5.0
276,3.0
277,2.0
278,25.0
279,29.0
280,16.0
281,4.0
282,0.0
283,3.0
284,7.0
285,6.0
286,7.0
287,0.0
288,24.0
289,11.0
290,0.0
291,18.0
292,13.0
293,34.0
294,35.0
295,1.0
296,23.0
297,5.0
298,1.0
299,2.0
300,0.0
301,1.0
302,2.0
303,1.0
304,6.0
305,1.0
306,4.0
307,3.0
308,8.0
309,11.0
310,0.0
311,1.0
312,4.0
313,9.0
314,13.0
315,3.0
316,10.0
317,3.0
318,6.0
319,2.0
320,7.0
321,6.0
322,6.0
323,1.0
324,1.0
325,2.0
326,7.0
327,3.0
328,6.0
329,3.0
330,3.0
331,5.0
332,4.0
333,7.0
334,0.0
335,0.0
336,0.0
337,3.0
338,6.0
339,6.0
340,3.0
341,1.0
342,6.0
343,6.0
344,6.0
345,11.0
346,2.0
347,1.0
348,2.0
349,5.0
350,6.0
351,6.0
352,0.0
353,0.0
354,0.0
355,3.0
356,0.0
357,3.0
358,3.0
359,2.0
360,0.0
361,2.0
362,5.0
363,1.0
364,0.0
365,0.0
366,0.0
367,1.0
368,2.0
369,12.0
370,6.0
371,9.0
372,9.0
373,8.0
374,2.0
375,1.0
376,2.0
377,2.0
378,3.0
379,19.0
380,7.0
381,2.0
382,2.0
383,3.0
384,0.0
385,3.0
386,3.0
387,1.0
388,3.0
389,10.0
390,0.0
391,0.0
392,0.0
393,3.0
394,2.0
395,1.0
396,9.0
397,2.0
398,0.0
399,2.0
400,1.0
401,1.0
402,2.0
403,0.0
404,2.0
405,3.0
406,2.0
407,0.0
408,2.0
409,1.0
410,3.0
411,0.0
412,2.0
413,2.0
414,0.0
415,4.0
416,2.0
417,3.0
418,7.0
419,6.0
420,3.0
421,4.0
422,3.0
423,7.0
424,5.0
425,7.0
426,2.0
427,3.0
428,5.0
429,3.0
430,10.0
431,0.0
432,3.0
433,7.0
434,3.0
435,2.0
436,3.0
437,3.0
438,2.0
439,0.0
440,0.0
441,0.0
442,2.0
443,7.0
444,3.0
445,10.0
446,1.0
447,18.0
448,2.0
449,2.0
450,5.0
451,3.0
452,5.0
453,3.0
454,0.0
455,11.0
456,7.0
457,4.0
458,4.0
459,11.0
460,4.0
461,17.0
462,0.0
463,2.0
464,0.0
465,1.0
466,2.0
467,2.0
468,0.0
469,2.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,2.0
476,1.0
477,6.0
478,2.0
479,6.0
480,4.0
481,3.0
482,5.0
483,0.0
484,9.0
485,0.0
486,1.0
487,8.0
488,15.0
489,2.0
490,6.0
491,1.0
492,2.0
493,6.0
494,2.0
495,2.0
496,2.0
497,1.0
498,3.0
499,2.0
500,1.0
501,1.0
502,15.0
503,15.0
504,3.0
505,3.0
506,9.0
507,13.0
508,9.0
509,1.0
510,6.0
511,6.0
512,2.0
513,4.0
514,7.0
515,4.0
516,7.0
517,2.0
518,1.0
519,2.0
520,15.0
521,13.0
522,0.0
523,4.0
524,5.0
525,3.0
526,1.0
527,3.0
528,8.0
529,1.0
530,5.0
531,8.0
532,5.0
533,5.0
534,5.0
535,0.0
536,0.0
537,0.0
538,4.0
