Index,Count
1,28.0
2,44.0
3,30.0
4,34.0
5,53.0
6,27.0
7,58.0
8,91.0
9,34.0
10,25.0
11,25.0
12,46.0
13,21.0
14,60.0
15,43.0
16,72.0
17,169.0
18,60.0
19,46.0
20,18.0
21,42.0
22,15.0
23,22.0
24,55.0
25,42.0
26,81.0
27,179.0
28,74.0
29,55.0
30,25.0
31,35.0
32,10.0
33,20.0
34,28.0
35,92.0
36,41.0
37,102.0
38,158.0
39,61.0
40,34.0
41,11.0
42,43.0
43,48.0
44,9.0
45,10.0
46,26.0
47,64.0
48,46.0
49,90.0
50,195.0
51,59.0
52,52.0
53,12.0
54,35.0
55,10.0
56,6.0
57,3.0
58,11.0
59,20.0
60,54.0
61,45.0
62,71.0
63,114.0
64,50.0
65,45.0
66,48.0
67,51.0
68,11.0
69,34.0
70,16.0
71,13.0
72,8.0
73,19.0
74,22.0
75,21.0
76,15.0
77,23.0
78,44.0
79,15.0
80,12.0
81,25.0
82,16.0
83,4.0
84,5.0
85,11.0
86,16.0
87,12.0
88,12.0
89,11.0
90,11.0
91,11.0
92,5.0
93,10.0
94,16.0
95,8.0
96,10.0
97,7.0
98,13.0
99,4.0
100,4.0
101,7.0
102,8.0
103,0.0
104,3.0
105,2.0
106,6.0
107,8.0
108,4.0
109,6.0
110,7.0
111,11.0
112,2.0
113,0.0
114,6.0
115,7.0
116,7.0
117,2.0
118,3.0
119,8.0
120,4.0
121,0.0
122,0.0
123,0.0
124,3.0
125,2.0
126,3.0
127,5.0
128,5.0
129,7.0
130,2.0
131,4.0
132,1.0
133,7.0
134,4.0
135,48.0
136,54.0
137,31.0
138,10.0
139,13.0
140,72.0
141,76.0
142,87.0
143,38.0
144,24.0
145,7.0
146,8.0
147,59.0
148,63.0
149,88.0
150,47.0
151,26.0
152,18.0
153,19.0
154,2.0
155,5.0
156,8.0
157,41.0
158,47.0
159,59.0
160,41.0
161,28.0
162,16.0
163,25.0
164,12.0
165,10.0
166,15.0
167,15.0
168,18.0
169,66.0
170,70.0
171,86.0
172,39.0
173,11.0
174,13.0
175,51.0
176,24.0
177,14.0
178,6.0
179,9.0
180,13.0
181,73.0
182,94.0
183,101.0
184,115.0
185,46.0
186,23.0
187,15.0
188,39.0
189,21.0
190,27.0
191,4.0
192,6.0
193,7.0
194,57.0
195,83.0
196,100.0
197,109.0
198,49.0
199,31.0
200,19.0
201,45.0
202,25.0
203,37.0
204,58.0
205,4.0
206,9.0
207,9.0
208,49.0
209,64.0
210,74.0
211,79.0
212,21.0
213,12.0
214,80.0
215,37.0
216,32.0
217,0.0
218,36.0
219,22.0
220,12.0
221,11.0
222,19.0
223,1.0
224,2.0
225,4.0
226,18.0
227,21.0
228,26.0
229,26.0
230,22.0
231,11.0
232,32.0
233,12.0
234,11.0
235,0.0
236,10.0
237,4.0
238,2.0
239,6.0
240,11.0
241,3.0
242,1.0
243,0.0
244,1.0
245,7.0
246,14.0
247,19.0
248,27.0
249,7.0
250,4.0
251,2.0
252,7.0
253,8.0
254,7.0
255,0.0
256,2.0
257,2.0
258,5.0
259,3.0
260,4.0
261,2.0
262,1.0
263,1.0
264,1.0
265,6.0
266,13.0
267,18.0
268,27.0
269,8.0
270,8.0
271,2.0
272,7.0
273,6.0
274,6.0
275,0.0
276,3.0
277,1.0
278,24.0
279,24.0
280,23.0
281,7.0
282,2.0
283,2.0
284,4.0
285,7.0
286,9.0
287,12.0
288,17.0
289,1.0
290,0.0
291,7.0
292,-3.0
293,28.0
294,32.0
295,0.0
296,15.0
297,7.0
298,1.0
299,2.0
300,1.0
301,1.0
302,4.0
303,6.0
304,6.0
305,1.0
306,7.0
307,3.0
308,11.0
309,16.0
310,0.0
311,1.0
312,4.0
313,15.0
314,14.0
315,20.0
316,12.0
317,10.0
318,3.0
319,3.0
320,4.0
321,8.0
322,5.0
323,4.0
324,6.0
325,2.0
326,10.0
327,2.0
328,8.0
329,5.0
330,2.0
331,3.0
332,6.0
333,7.0
334,7.0
335,4.0
336,9.0
337,3.0
338,10.0
339,4.0
340,3.0
341,1.0
342,4.0
343,2.0
344,8.0
345,11.0
346,12.0
347,6.0
348,14.0
349,6.0
350,9.0
351,3.0
352,0.0
353,1.0
354,0.0
355,3.0
356,0.0
357,4.0
358,3.0
359,3.0
360,3.0
361,6.0
362,5.0
363,2.0
364,0.0
365,0.0
366,1.0
367,1.0
368,3.0
369,7.0
370,5.0
371,10.0
372,8.0
373,9.0
374,8.0
375,4.0
376,9.0
377,3.0
378,3.0
379,0.0
380,4.0
381,2.0
382,2.0
383,3.0
384,2.0
385,2.0
386,2.0
387,1.0
388,5.0
389,10.0
390,10.0
391,5.0
392,12.0
393,5.0
394,1.0
395,0.0
396,6.0
397,2.0
398,0.0
399,2.0
400,4.0
401,0.0
402,2.0
403,0.0
404,1.0
405,3.0
406,3.0
407,2.0
408,5.0
409,1.0
410,3.0
411,0.0
412,0.0
413,0.0
414,1.0
415,4.0
416,0.0
417,1.0
418,1.0
419,7.0
420,0.0
421,2.0
422,0.0
423,9.0
424,4.0
425,7.0
426,0.0
427,2.0
428,1.0
429,9.0
430,5.0
431,5.0
432,2.0
433,6.0
434,0.0
435,0.0
436,2.0
437,3.0
438,2.0
439,0.0
440,2.0
441,2.0
442,2.0
443,5.0
444,2.0
445,17.0
446,1.0
447,0.0
448,1.0
449,0.0
450,2.0
451,2.0
452,4.0
453,7.0
454,8.0
455,8.0
456,9.0
457,4.0
458,1.0
459,17.0
460,7.0
461,0.0
462,0.0
463,0.0
464,1.0
465,3.0
466,0.0
467,2.0
468,2.0
469,2.0
470,1.0
471,1.0
472,1.0
473,0.0
474,1.0
475,1.0
476,0.0
477,4.0
478,2.0
479,6.0
480,6.0
481,1.0
482,8.0
483,9.0
484,8.0
485,2.0
486,5.0
487,8.0
488,9.0
489,2.0
490,8.0
491,0.0
492,1.0
493,5.0
494,1.0
495,0.0
496,3.0
497,2.0
498,1.0
499,2.0
500,2.0
501,1.0
502,9.0
503,9.0
504,6.0
505,1.0
506,10.0
507,17.0
508,0.0
509,1.0
510,3.0
511,2.0
512,1.0
513,4.0
514,9.0
515,4.0
516,8.0
517,8.0
518,8.0
519,13.0
520,10.0
521,3.0
522,2.0
523,2.0
524,3.0
525,2.0
526,0.0
527,2.0
528,7.0
529,1.0
530,4.0
531,8.0
532,6.0
533,2.0
534,6.0
535,5.0
536,9.0
537,17.0
538,5.0
539,2.0
540,2.0
541,3.0
542,0.0
543,252.0
544,0.0
545,3.0
546,2.0
547,158.0
548,4.0
549,2.0
550,8.0
551,4.0
552,3.0
553,4.0
554,4.0
555,8.0
556,10.0
557,5.0
558,4.0
559,2.0
560,6.0
561,6.0
562,10.0
563,0.0
564,2.0
565,2.0
566,11.0
567,0.0
568,0.0
569,16.0
570,7.0
571,0.0
572,13.0
573,22.0
574,67.0
575,9.0
576,3.0
577,4.0
578,20.0
579,25.0
580,52.0
581,6.0
582,222.0
583,3.0
584,6.0
585,2.0
586,13.0
587,8.0
588,17.0
589,19.0
590,31.0
591,15.0
592,6.0
593,80.0
594,5.0
595,7.0
596,8.0
597,0.0
598,1.0
599,19.0
600,7.0
601,19.0
602,21.0
603,35.0
604,33.0
605,4.0
606,33.0
607,4.0
608,9.0
609,5.0
610,1.0
611,1.0
612,24.0
613,13.0
614,30.0
615,33.0
616,50.0
617,78.0
618,37.0
619,11.0
620,55.0
621,8.0
622,7.0
623,7.0
624,2.0
625,3.0
626,17.0
627,6.0
628,15.0
629,15.0
630,23.0
631,29.0
632,19.0
633,17.0
634,21.0
635,3.0
636,11.0
637,7.0
638,4.0
639,7.0
640,15.0
641,6.0
642,15.0
643,19.0
644,34.0
645,21.0
646,13.0
647,10.0
648,20.0
649,3.0
650,11.0
651,3.0
652,2.0
653,6.0
654,15.0
655,3.0
656,10.0
657,12.0
658,20.0
659,13.0
660,8.0
661,10.0
662,16.0
663,2.0
664,4.0
665,5.0
666,1.0
667,2.0
668,2.0
669,1.0
670,1.0
671,1.0
672,5.0
673,5.0
674,6.0
675,2.0
676,36.0
677,6.0
678,0.0
679,5.0
680,2.0
681,0.0
682,2.0
683,8.0
684,5.0
685,6.0
686,7.0
687,8.0
688,0.0
689,0.0
690,1.0
691,5.0
692,9.0
693,4.0
694,43.0
695,46.0
696,20.0
697,20.0
698,58.0
699,78.0
700,28.0
701,23.0
702,32.0
703,43.0
704,53.0
705,21.0
706,2.0
707,35.0
708,17.0
709,42.0
710,35.0
711,43.0
712,20.0
713,7.0
714,19.0
715,21.0
716,50.0
717,46.0
718,32.0
719,28.0
720,19.0
721,11.0
722,14.0
723,18.0
724,29.0
725,71.0
726,49.0
727,44.0
728,36.0
729,26.0
730,64.0
731,42.0
732,6.0
733,3.0
734,14.0
735,49.0
736,57.0
737,47.0
738,32.0
739,34.0
740,12.0
741,33.0
742,33.0
743,22.0
744,5.0
745,15.0
746,24.0
747,63.0
748,47.0
749,25.0
750,20.0
751,47.0
752,37.0
753,17.0
754,14.0
755,9.0
756,7.0
757,2.0
758,2.0
759,5.0
760,9.0
761,27.0
762,17.0
763,15.0
764,12.0
765,35.0
766,25.0
767,12.0
768,24.0
769,16.0
770,11.0
771,1.0
772,7.0
773,10.0
774,9.0
775,6.0
776,24.0
777,11.0
778,10.0
779,8.0
780,39.0
781,29.0
782,11.0
783,14.0
784,27.0
785,8.0
786,4.0
787,2.0
788,3.0
789,7.0
790,5.0
791,4.0
792,13.0
793,14.0
794,5.0
795,3.0
796,3.0
797,25.0
798,22.0
799,9.0
800,9.0
801,5.0
802,2.0
803,1.0
804,1.0
805,4.0
806,0.0
807,0.0
808,0.0
809,9.0
810,13.0
811,8.0
812,6.0
813,5.0
814,7.0
815,4.0
816,3.0
817,14.0
818,18.0
819,95.0
820,16.0
821,31.0
822,29.0
823,101.0
824,113.0
825,21.0
826,27.0
827,39.0
828,62.0
829,104.0
830,28.0
831,60.0
832,15.0
833,17.0
834,26.0
835,67.0
836,83.0
837,125.0
838,33.0
839,64.0
840,0.0
841,29.0
842,17.0
843,19.0
844,11.0
845,40.0
846,73.0
847,88.0
848,131.0
849,33.0
850,19.0
851,55.0
852,0.0
853,74.0
854,42.0
855,7.0
856,20.0
857,10.0
858,17.0
859,44.0
860,50.0
861,46.0
862,91.0
863,37.0
864,23.0
865,51.0
866,0.0
867,31.0
868,20.0
869,12.0
870,31.0
871,27.0
872,13.0
873,28.0
874,70.0
875,79.0
876,80.0
877,118.0
878,40.0
879,18.0
880,56.0
881,60.0
882,0.0
883,37.0
884,21.0
885,22.0
886,35.0
887,34.0
888,16.0
889,15.0
890,38.0
891,16.0
892,43.0
893,44.0
894,102.0
895,22.0
896,21.0
897,7.0
898,29.0
899,45.0
900,0.0
901,15.0
902,12.0
903,32.0
904,12.0
905,12.0
906,8.0
907,7.0
908,18.0
909,14.0
910,20.0
911,16.0
912,26.0
913,16.0
914,14.0
915,6.0
916,19.0
917,29.0
918,0.0
919,18.0
920,12.0
921,9.0
922,30.0
923,17.0
924,0.0
925,6.0
926,8.0
927,3.0
928,8.0
929,8.0
930,6.0
931,13.0
932,4.0
933,4.0
934,1.0
935,5.0
936,27.0
937,0.0
938,4.0
939,4.0
