Index,Count
1,28.0
2,44.0
3,31.0
4,37.0
5,53.0
6,28.0
7,58.0
8,92.0
9,35.0
10,24.0
11,25.0
12,47.0
13,21.0
14,60.0
15,42.0
16,78.0
17,170.0
18,57.0
19,44.0
20,18.0
21,42.0
22,15.0
23,22.0
24,55.0
25,42.0
26,83.0
27,180.0
28,74.0
29,55.0
30,25.0
31,37.0
32,10.0
33,21.0
34,27.0
35,92.0
36,41.0
37,101.0
38,159.0
39,62.0
40,34.0
41,11.0
42,51.0
43,48.0
44,9.0
45,10.0
46,25.0
47,64.0
48,46.0
49,96.0
50,197.0
51,59.0
52,52.0
53,12.0
54,37.0
55,10.0
56,6.0
57,3.0
58,11.0
59,19.0
60,54.0
61,45.0
62,73.0
63,115.0
64,50.0
65,41.0
66,47.0
67,51.0
68,11.0
69,33.0
70,16.0
71,13.0
72,8.0
73,19.0
74,22.0
75,21.0
76,15.0
77,23.0
78,44.0
79,15.0
80,11.0
81,25.0
82,16.0
83,4.0
84,5.0
85,10.0
86,16.0
87,12.0
88,12.0
89,11.0
90,11.0
91,11.0
92,5.0
93,10.0
94,16.0
95,8.0
96,8.0
97,7.0
98,13.0
99,4.0
100,4.0
101,7.0
102,8.0
103,0.0
104,3.0
105,2.0
106,6.0
107,8.0
108,4.0
109,6.0
110,7.0
111,11.0
112,2.0
113,0.0
114,6.0
115,8.0
116,7.0
117,2.0
118,3.0
119,7.0
120,4.0
121,0.0
122,0.0
123,0.0
124,3.0
125,2.0
126,3.0
127,5.0
128,5.0
129,7.0
130,2.0
131,4.0
132,1.0
133,10.0
134,4.0
135,48.0
136,53.0
137,34.0
138,9.0
139,13.0
140,71.0
141,76.0
142,85.0
143,38.0
144,21.0
145,7.0
146,8.0
147,59.0
148,66.0
149,82.0
150,47.0
151,26.0
152,21.0
153,19.0
154,2.0
155,5.0
156,8.0
157,41.0
158,50.0
159,58.0
160,41.0
161,22.0
162,20.0
163,25.0
164,12.0
165,8.0
166,15.0
167,14.0
168,18.0
169,67.0
170,73.0
171,80.0
172,39.0
173,16.0
174,14.0
175,50.0
176,24.0
177,13.0
178,6.0
179,9.0
180,13.0
181,73.0
182,99.0
183,102.0
184,111.0
185,46.0
186,19.0
187,17.0
188,40.0
189,21.0
190,27.0
191,4.0
192,6.0
193,7.0
194,57.0
195,85.0
196,98.0
197,107.0
198,48.0
199,30.0
200,24.0
201,45.0
202,24.0
203,36.0
204,58.0
205,4.0
206,9.0
207,9.0
208,49.0
209,66.0
210,73.0
211,76.0
212,21.0
213,12.0
214,80.0
215,41.0
216,33.0
217,0.0
218,36.0
219,20.0
220,12.0
221,9.0
222,19.0
223,1.0
224,2.0
225,4.0
226,19.0
227,23.0
228,26.0
229,26.0
230,22.0
231,11.0
232,32.0
233,13.0
234,12.0
235,0.0
236,10.0
237,5.0
238,2.0
239,6.0
240,11.0
241,3.0
242,1.0
243,0.0
244,1.0
245,7.0
246,14.0
247,18.0
248,25.0
249,7.0
250,4.0
251,2.0
252,7.0
253,9.0
254,9.0
255,0.0
256,2.0
257,2.0
258,5.0
259,2.0
260,4.0
261,2.0
262,1.0
263,1.0
264,1.0
265,7.0
266,15.0
267,19.0
268,26.0
269,8.0
270,8.0
271,2.0
272,7.0
273,6.0
274,7.0
275,0.0
276,3.0
277,1.0
278,22.0
279,22.0
280,21.0
281,7.0
282,2.0
283,2.0
284,4.0
285,7.0
286,9.0
287,12.0
288,16.0
289,1.0
290,0.0
291,7.0
292,-2.0
293,32.0
294,34.0
295,0.0
296,14.0
297,8.0
298,1.0
299,2.0
300,1.0
301,1.0
302,4.0
303,6.0
304,6.0
305,1.0
306,7.0
307,3.0
308,10.0
309,16.0
310,0.0
311,1.0
312,4.0
313,15.0
314,15.0
315,20.0
316,11.0
317,9.0
318,3.0
319,3.0
320,4.0
321,8.0
322,5.0
323,4.0
324,6.0
325,2.0
326,10.0
327,2.0
328,8.0
329,5.0
330,2.0
331,2.0
332,6.0
333,7.0
334,7.0
335,4.0
336,9.0
337,3.0
338,7.0
339,4.0
340,3.0
341,1.0
342,4.0
343,2.0
344,8.0
345,11.0
346,11.0
347,6.0
348,13.0
349,6.0
350,10.0
351,3.0
352,0.0
353,1.0
354,0.0
355,3.0
356,0.0
357,4.0
358,3.0
359,3.0
360,3.0
361,6.0
362,5.0
363,1.0
364,0.0
365,0.0
366,1.0
367,1.0
368,4.0
369,7.0
370,5.0
371,8.0
372,9.0
373,8.0
374,8.0
375,4.0
376,9.0
377,3.0
378,4.0
379,0.0
380,4.0
381,2.0
382,2.0
383,3.0
384,1.0
385,2.0
386,2.0
387,1.0
388,5.0
389,10.0
390,10.0
391,5.0
392,12.0
393,5.0
394,3.0
395,0.0
396,6.0
397,2.0
398,0.0
399,2.0
400,3.0
401,0.0
402,2.0
403,0.0
404,3.0
405,3.0
406,3.0
407,2.0
408,5.0
409,1.0
410,4.0
411,0.0
412,0.0
413,0.0
414,1.0
415,4.0
416,0.0
417,1.0
418,1.0
419,6.0
420,0.0
421,2.0
422,0.0
423,9.0
424,4.0
425,7.0
426,0.0
427,2.0
428,1.0
429,9.0
430,5.0
431,5.0
432,2.0
433,7.0
434,0.0
435,0.0
436,2.0
437,3.0
438,2.0
439,0.0
440,2.0
441,2.0
442,2.0
443,5.0
444,1.0
445,17.0
446,1.0
447,0.0
448,1.0
449,0.0
450,2.0
451,2.0
452,4.0
453,8.0
454,8.0
455,9.0
456,9.0
457,4.0
458,1.0
459,17.0
460,5.0
461,0.0
462,0.0
463,0.0
464,1.0
465,3.0
466,0.0
467,2.0
468,2.0
469,2.0
470,1.0
471,1.0
472,1.0
473,0.0
474,1.0
475,2.0
476,0.0
477,4.0
478,2.0
479,6.0
480,6.0
481,1.0
482,8.0
483,9.0
484,8.0
485,2.0
486,5.0
487,8.0
488,9.0
489,2.0
490,7.0
491,0.0
492,1.0
493,5.0
494,1.0
495,0.0
496,3.0
497,2.0
498,1.0
499,2.0
500,2.0
501,1.0
502,9.0
503,9.0
504,6.0
505,1.0
506,10.0
507,13.0
508,0.0
509,1.0
510,3.0
511,2.0
512,1.0
513,4.0
514,9.0
515,4.0
516,8.0
517,8.0
518,8.0
519,13.0
520,10.0
521,3.0
522,2.0
523,2.0
524,3.0
525,2.0
526,0.0
527,2.0
528,7.0
529,1.0
530,4.0
531,8.0
532,6.0
533,2.0
534,6.0
535,5.0
536,9.0
537,17.0
538,5.0
539,2.0
540,2.0
541,3.0
542,0.0
543,239.0
544,0.0
545,3.0
546,2.0
547,159.0
548,4.0
549,2.0
550,8.0
551,4.0
552,3.0
553,4.0
554,4.0
555,8.0
556,10.0
557,5.0
558,4.0
559,2.0
560,6.0
561,6.0
562,11.0
563,0.0
564,2.0
565,2.0
566,11.0
567,0.0
568,0.0
569,15.0
570,7.0
571,0.0
572,13.0
573,22.0
574,69.0
575,9.0
576,3.0
577,4.0
578,20.0
579,25.0
580,52.0
581,7.0
582,224.0
583,3.0
584,7.0
585,2.0
586,13.0
587,8.0
588,16.0
589,19.0
590,31.0
591,15.0
592,6.0
593,70.0
594,5.0
595,8.0
596,8.0
597,0.0
598,1.0
599,19.0
600,7.0
601,18.0
602,21.0
603,35.0
604,33.0
605,4.0
606,32.0
607,4.0
608,10.0
609,5.0
610,1.0
611,1.0
612,24.0
613,13.0
614,27.0
615,33.0
616,50.0
617,78.0
618,37.0
619,10.0
620,49.0
621,8.0
622,7.0
623,7.0
624,2.0
625,3.0
626,17.0
627,6.0
628,14.0
629,15.0
630,23.0
631,29.0
632,19.0
633,16.0
634,23.0
635,3.0
636,12.0
637,7.0
638,4.0
639,7.0
640,15.0
641,6.0
642,15.0
643,19.0
644,34.0
645,21.0
646,13.0
647,10.0
648,23.0
649,3.0
650,11.0
651,3.0
652,2.0
653,6.0
654,15.0
655,3.0
656,10.0
657,12.0
658,20.0
659,13.0
660,8.0
661,10.0
662,16.0
663,2.0
664,4.0
665,5.0
666,1.0
667,2.0
668,2.0
669,1.0
670,1.0
671,1.0
672,5.0
673,5.0
674,6.0
675,2.0
676,36.0
677,6.0
678,0.0
679,5.0
680,2.0
681,0.0
682,2.0
683,8.0
684,5.0
685,6.0
686,7.0
687,8.0
688,0.0
689,0.0
690,1.0
691,5.0
692,10.0
693,4.0
694,40.0
695,47.0
696,20.0
697,20.0
698,56.0
699,70.0
700,27.0
701,23.0
702,32.0
703,45.0
704,50.0
705,21.0
706,2.0
707,35.0
708,17.0
709,41.0
710,36.0
711,45.0
712,20.0
713,7.0
714,19.0
715,21.0
716,51.0
717,46.0
718,35.0
719,25.0
720,19.0
721,11.0
722,14.0
723,18.0
724,29.0
725,70.0
726,48.0
727,49.0
728,35.0
729,27.0
730,64.0
731,42.0
732,6.0
733,3.0
734,14.0
735,44.0
736,59.0
737,45.0
738,33.0
739,41.0
740,13.0
741,32.0
742,33.0
743,22.0
744,5.0
745,15.0
746,24.0
747,62.0
748,47.0
749,25.0
750,20.0
751,47.0
752,35.0
753,17.0
754,14.0
755,9.0
756,7.0
757,2.0
758,2.0
759,5.0
760,9.0
761,26.0
762,17.0
763,15.0
764,12.0
765,35.0
766,28.0
767,12.0
768,25.0
769,16.0
770,11.0
771,1.0
772,6.0
773,10.0
774,8.0
775,4.0
776,22.0
777,11.0
778,10.0
779,8.0
780,44.0
781,36.0
782,11.0
783,14.0
784,26.0
785,8.0
786,4.0
787,2.0
788,3.0
789,7.0
790,5.0
791,4.0
792,13.0
793,14.0
794,5.0
795,3.0
796,3.0
797,26.0
798,27.0
799,9.0
800,9.0
801,5.0
802,2.0
803,1.0
804,1.0
805,4.0
806,0.0
807,0.0
808,0.0
809,9.0
810,13.0
811,8.0
812,6.0
813,5.0
814,6.0
815,6.0
816,3.0
817,14.0
818,18.0
819,96.0
820,16.0
821,29.0
822,29.0
823,101.0
824,115.0
825,22.0
826,26.0
827,39.0
828,62.0
829,105.0
830,27.0
831,60.0
832,15.0
833,16.0
834,26.0
835,68.0
836,84.0
837,126.0
838,33.0
839,64.0
840,0.0
841,28.0
842,17.0
843,18.0
844,11.0
845,40.0
846,73.0
847,89.0
848,131.0
849,33.0
850,19.0
851,55.0
852,0.0
853,73.0
854,41.0
855,7.0
856,21.0
857,11.0
858,17.0
859,44.0
860,52.0
861,46.0
862,91.0
863,37.0
864,23.0
865,50.0
866,0.0
867,32.0
868,20.0
869,12.0
870,25.0
871,26.0
872,13.0
873,28.0
874,70.0
875,77.0
876,80.0
877,118.0
878,40.0
879,17.0
880,56.0
881,64.0
882,0.0
883,37.0
884,21.0
885,22.0
886,31.0
887,33.0
888,16.0
889,15.0
890,38.0
891,16.0
892,40.0
893,46.0
894,102.0
895,19.0
896,21.0
897,7.0
898,30.0
899,48.0
900,0.0
901,16.0
902,13.0
903,32.0
904,10.0
905,12.0
906,8.0
907,7.0
908,18.0
909,14.0
910,21.0
911,16.0
912,27.0
913,16.0
914,14.0
915,6.0
916,20.0
917,31.0
918,0.0
919,19.0
920,12.0
921,9.0
922,29.0
923,16.0
924,0.0
925,6.0
926,8.0
927,3.0
928,8.0
929,8.0
930,6.0
931,13.0
932,3.0
933,4.0
934,1.0
935,5.0
936,37.0
937,0.0
938,4.0
939,4.0
