Index,Count
1,20.0
2,39.0
3,24.0
4,29.0
5,49.0
6,29.0
7,58.0
8,47.0
9,29.0
10,27.0
11,16.0
12,40.0
13,25.0
14,57.0
15,44.0
16,71.0
17,114.0
18,65.0
19,45.0
20,16.0
21,29.0
22,18.0
23,21.0
24,50.0
25,41.0
26,77.0
27,129.0
28,84.0
29,45.0
30,13.0
31,27.0
32,8.0
33,28.0
34,33.0
35,78.0
36,42.0
37,97.0
38,102.0
39,60.0
40,35.0
41,8.0
42,36.0
43,39.0
44,5.0
45,10.0
46,26.0
47,63.0
48,53.0
49,77.0
50,110.0
51,58.0
52,50.0
53,7.0
54,29.0
55,6.0
56,9.0
57,3.0
58,10.0
59,11.0
60,56.0
61,42.0
62,69.0
63,61.0
64,54.0
65,43.0
66,45.0
67,45.0
68,7.0
69,28.0
70,15.0
71,12.0
72,6.0
73,13.0
74,18.0
75,16.0
76,16.0
77,22.0
78,21.0
79,18.0
80,10.0
81,20.0
82,17.0
83,1.0
84,0.0
85,10.0
86,16.0
87,11.0
88,11.0
89,7.0
90,6.0
91,9.0
92,4.0
93,7.0
94,6.0
95,5.0
96,7.0
97,6.0
98,4.0
99,2.0
100,2.0
101,7.0
102,7.0
103,0.0
104,0.0
105,1.0
106,4.0
107,5.0
108,4.0
109,3.0
110,2.0
111,4.0
112,2.0
113,0.0
114,6.0
115,8.0
116,4.0
117,1.0
118,1.0
119,7.0
120,3.0
121,0.0
122,0.0
123,0.0
124,2.0
125,1.0
126,2.0
127,2.0
128,0.0
129,0.0
130,2.0
131,2.0
132,1.0
133,8.0
134,3.0
135,37.0
136,24.0
137,29.0
138,9.0
139,12.0
140,69.0
141,72.0
142,41.0
143,33.0
144,14.0
145,5.0
146,9.0
147,57.0
148,61.0
149,51.0
150,35.0
151,22.0
152,15.0
153,10.0
154,4.0
155,5.0
156,7.0
157,41.0
158,45.0
159,31.0
160,36.0
161,19.0
162,10.0
163,20.0
164,11.0
165,10.0
166,13.0
167,15.0
168,28.0
169,70.0
170,64.0
171,30.0
172,35.0
173,9.0
174,11.0
175,40.0
176,21.0
177,11.0
178,6.0
179,10.0
180,17.0
181,71.0
182,97.0
183,103.0
184,65.0
185,46.0
186,15.0
187,11.0
188,35.0
189,21.0
190,13.0
191,6.0
192,7.0
193,9.0
194,56.0
195,81.0
196,80.0
197,61.0
198,49.0
199,25.0
200,14.0
201,44.0
202,23.0
203,30.0
204,69.0
205,6.0
206,9.0
207,9.0
208,49.0
209,75.0
210,72.0
211,49.0
212,19.0
213,9.0
214,87.0
215,36.0
216,26.0
217,0.0
218,34.0
219,17.0
220,8.0
221,7.0
222,17.0
223,0.0
224,2.0
225,2.0
226,14.0
227,18.0
228,11.0
229,6.0
230,15.0
231,9.0
232,33.0
233,10.0
234,7.0
235,0.0
236,8.0
237,4.0
238,0.0
239,4.0
240,10.0
241,1.0
242,0.0
243,0.0
244,0.0
245,4.0
246,6.0
247,20.0
248,11.0
249,2.0
250,4.0
251,2.0
252,6.0
253,7.0
254,7.0
255,0.0
256,2.0
257,2.0
258,2.0
259,3.0
260,4.0
261,2.0
262,0.0
263,1.0
264,1.0
265,5.0
266,8.0
267,19.0
268,9.0
269,6.0
270,8.0
271,3.0
272,5.0
273,5.0
274,5.0
275,0.0
276,3.0
277,1.0
278,22.0
279,22.0
280,22.0
281,5.0
282,0.0
283,2.0
284,2.0
285,6.0
286,8.0
287,21.0
288,8.0
289,1.0
290,0.0
291,10.0
292,2.0
293,29.0
294,27.0
295,0.0
296,12.0
297,5.0
298,0.0
299,0.0
300,0.0
301,0.0
302,1.0
303,2.0
304,2.0
305,0.0
306,2.0
307,2.0
308,7.0
309,11.0
310,0.0
311,0.0
312,1.0
313,11.0
314,10.0
315,4.0
316,9.0
317,4.0
318,3.0
319,1.0
320,4.0
321,3.0
322,2.0
323,0.0
324,0.0
325,0.0
326,5.0
327,2.0
328,4.0
329,1.0
330,0.0
331,4.0
332,5.0
333,4.0
334,0.0
335,0.0
336,1.0
337,0.0
338,4.0
339,4.0
340,1.0
341,0.0
342,2.0
343,1.0
344,8.0
345,5.0
346,2.0
347,0.0
348,0.0
349,2.0
350,7.0
351,3.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,3.0
358,0.0
359,0.0
360,0.0
361,0.0
362,4.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,3.0
369,1.0
370,6.0
371,12.0
372,7.0
373,3.0
374,0.0
375,0.0
376,0.0
377,0.0
378,3.0
379,0.0
380,4.0
381,1.0
382,0.0
383,0.0
384,2.0
385,0.0
386,1.0
387,1.0
388,5.0
389,3.0
390,0.0
391,0.0
392,0.0
393,2.0
394,2.0
395,0.0
396,5.0
397,1.0
398,0.0
399,0.0
400,3.0
401,0.0
402,0.0
403,0.0
404,3.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,3.0
411,0.0
412,0.0
413,0.0
414,0.0
415,3.0
416,0.0
417,1.0
418,1.0
419,6.0
420,0.0
421,1.0
422,0.0
423,3.0
424,4.0
425,8.0
426,0.0
427,2.0
428,1.0
429,4.0
430,5.0
431,1.0
432,1.0
433,7.0
434,0.0
435,0.0
436,2.0
437,1.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,2.0
444,2.0
445,16.0
446,1.0
447,0.0
448,1.0
449,0.0
450,1.0
451,1.0
452,4.0
453,3.0
454,2.0
455,2.0
456,4.0
457,5.0
458,1.0
459,18.0
460,4.0
461,0.0
462,0.0
463,0.0
464,0.0
465,1.0
466,0.0
467,1.0
468,0.0
469,0.0
470,0.0
471,1.0
