Index,Count
1,30.0
2,44.0
3,27.0
4,36.0
5,54.0
6,27.0
7,60.0
8,93.0
9,35.0
10,23.0
11,25.0
12,45.0
13,21.0
14,61.0
15,41.0
16,74.0
17,173.0
18,53.0
19,42.0
20,18.0
21,42.0
22,15.0
23,24.0
24,58.0
25,38.0
26,82.0
27,181.0
28,63.0
29,51.0
30,24.0
31,36.0
32,11.0
33,22.0
34,27.0
35,93.0
36,41.0
37,104.0
38,162.0
39,63.0
40,32.0
41,10.0
42,42.0
43,52.0
44,10.0
45,10.0
46,27.0
47,65.0
48,47.0
49,97.0
50,201.0
51,56.0
52,47.0
53,10.0
54,38.0
55,11.0
56,6.0
57,3.0
58,10.0
59,17.0
60,53.0
61,43.0
62,73.0
63,118.0
64,47.0
65,38.0
66,48.0
67,49.0
68,10.0
69,33.0
70,15.0
71,15.0
72,8.0
73,19.0
74,22.0
75,22.0
76,15.0
77,24.0
78,45.0
79,13.0
80,11.0
81,25.0
82,14.0
83,4.0
84,5.0
85,8.0
86,18.0
87,11.0
88,11.0
89,11.0
90,10.0
91,11.0
92,5.0
93,9.0
94,15.0
95,7.0
96,8.0
97,7.0
98,12.0
99,4.0
100,4.0
101,4.0
102,8.0
103,0.0
104,3.0
105,2.0
106,6.0
107,5.0
108,4.0
109,6.0
110,6.0
111,11.0
112,2.0
113,0.0
114,6.0
115,7.0
116,7.0
117,2.0
118,3.0
119,5.0
120,3.0
121,0.0
122,0.0
123,0.0
124,3.0
125,2.0
126,2.0
127,5.0
128,5.0
129,7.0
130,2.0
131,4.0
132,1.0
133,8.0
134,4.0
135,46.0
136,55.0
137,31.0
138,9.0
139,13.0
140,71.0
141,81.0
142,88.0
143,35.0
144,25.0
145,7.0
146,8.0
147,60.0
148,62.0
149,83.0
150,43.0
151,20.0
152,16.0
153,23.0
154,2.0
155,5.0
156,7.0
157,40.0
158,44.0
159,59.0
160,34.0
161,18.0
162,13.0
163,24.0
164,12.0
165,9.0
166,15.0
167,14.0
168,17.0
169,66.0
170,67.0
171,81.0
172,38.0
173,9.0
174,11.0
175,50.0
176,21.0
177,18.0
178,6.0
179,9.0
180,13.0
181,75.0
182,94.0
183,107.0
184,113.0
185,44.0
186,15.0
187,13.0
188,37.0
189,21.0
190,31.0
191,4.0
192,6.0
193,6.0
194,57.0
195,79.0
196,104.0
197,109.0
198,47.0
199,25.0
200,15.0
201,40.0
202,24.0
203,39.0
204,61.0
205,5.0
206,9.0
207,9.0
208,48.0
209,66.0
210,75.0
211,79.0
212,18.0
213,11.0
214,81.0
215,32.0
216,32.0
217,0.0
218,33.0
219,16.0
220,9.0
221,9.0
222,23.0
223,1.0
224,2.0
225,4.0
226,18.0
227,21.0
228,27.0
229,25.0
230,19.0
231,11.0
232,30.0
233,10.0
234,9.0
235,0.0
236,8.0
237,5.0
238,0.0
239,7.0
240,12.0
241,2.0
242,1.0
243,0.0
244,1.0
245,6.0
246,10.0
247,18.0
248,24.0
249,7.0
250,4.0
251,2.0
252,7.0
253,7.0
254,6.0
255,0.0
256,2.0
257,2.0
258,4.0
259,4.0
260,4.0
261,2.0
262,1.0
263,1.0
264,1.0
265,6.0
266,12.0
267,18.0
268,25.0
269,8.0
270,8.0
271,3.0
272,7.0
273,5.0
274,3.0
275,0.0
276,3.0
277,2.0
278,21.0
279,22.0
280,23.0
281,6.0
282,2.0
283,2.0
284,4.0
285,7.0
286,9.0
287,12.0
288,17.0
289,1.0
290,0.0
291,9.0
292,2.0
293,26.0
294,34.0
295,0.0
296,13.0
297,8.0
298,1.0
299,2.0
300,1.0
301,1.0
302,4.0
303,6.0
304,6.0
305,1.0
306,4.0
307,3.0
308,10.0
309,15.0
310,0.0
311,1.0
312,4.0
313,15.0
314,15.0
315,20.0
316,11.0
317,5.0
318,3.0
319,3.0
320,5.0
321,6.0
322,4.0
323,4.0
324,5.0
325,2.0
326,8.0
327,2.0
328,4.0
329,4.0
330,2.0
331,3.0
332,6.0
333,6.0
334,7.0
335,5.0
336,8.0
337,3.0
338,8.0
339,4.0
340,2.0
341,1.0
342,4.0
343,2.0
344,6.0
345,9.0
346,11.0
347,7.0
348,12.0
349,6.0
350,10.0
351,3.0
352,0.0
353,1.0
354,0.0
355,3.0
356,0.0
357,1.0
358,3.0
359,3.0
360,3.0
361,6.0
362,5.0
363,1.0
364,0.0
365,0.0
366,0.0
367,1.0
368,2.0
369,7.0
370,5.0
371,11.0
372,9.0
373,8.0
374,8.0
375,4.0
376,9.0
377,3.0
378,3.0
379,0.0
380,4.0
381,4.0
382,0.0
383,3.0
384,1.0
385,1.0
386,2.0
387,1.0
388,3.0
389,9.0
390,10.0
391,5.0
392,12.0
393,5.0
394,2.0
395,0.0
396,6.0
397,4.0
398,0.0
399,2.0
400,0.0
401,0.0
402,2.0
403,0.0
404,2.0
405,3.0
406,3.0
407,2.0
408,5.0
409,1.0
410,3.0
411,0.0
412,0.0
413,0.0
414,1.0
415,4.0
416,0.0
417,1.0
418,1.0
419,6.0
420,0.0
421,2.0
422,0.0
423,8.0
424,4.0
425,7.0
426,0.0
427,2.0
428,1.0
429,5.0
430,6.0
431,5.0
432,1.0
433,7.0
434,0.0
435,0.0
436,2.0
437,3.0
438,2.0
439,0.0
440,0.0
441,2.0
442,2.0
443,4.0
444,3.0
445,17.0
446,1.0
447,0.0
448,1.0
449,0.0
450,2.0
451,2.0
452,4.0
453,5.0
454,8.0
455,8.0
456,8.0
457,4.0
458,2.0
459,17.0
460,4.0
461,0.0
462,0.0
463,0.0
464,0.0
465,2.0
466,0.0
467,1.0
468,2.0
469,2.0
470,1.0
471,1.0
472,1.0
473,0.0
474,1.0
475,2.0
476,0.0
477,6.0
478,2.0
479,6.0
480,5.0
481,1.0
482,4.0
483,9.0
484,8.0
485,2.0
486,3.0
487,8.0
488,7.0
489,2.0
490,5.0
491,0.0
492,1.0
493,5.0
494,1.0
495,0.0
496,0.0
497,2.0
498,1.0
499,2.0
500,3.0
501,1.0
502,7.0
503,4.0
504,5.0
505,1.0
506,9.0
507,13.0
508,0.0
509,1.0
510,3.0
511,2.0
512,2.0
513,3.0
514,10.0
515,4.0
516,8.0
517,8.0
518,8.0
519,13.0
520,8.0
521,3.0
522,1.0
523,2.0
524,3.0
525,3.0
526,0.0
527,2.0
528,6.0
529,1.0
530,4.0
531,6.0
532,6.0
533,2.0
534,7.0
535,7.0
536,9.0
537,15.0
538,5.0
539,2.0
540,2.0
541,4.0
542,0.0
543,244.0
544,0.0
545,3.0
546,2.0
547,174.0
548,4.0
549,2.0
550,5.0
551,4.0
552,2.0
553,4.0
554,4.0
555,8.0
556,10.0
557,6.0
558,3.0
559,2.0
560,7.0
561,6.0
562,10.0
563,0.0
564,2.0
565,2.0
566,11.0
567,0.0
568,0.0
569,16.0
570,5.0
571,0.0
572,11.0
573,19.0
574,66.0
575,8.0
576,3.0
577,4.0
578,16.0
579,25.0
580,48.0
581,7.0
582,214.0
583,3.0
584,7.0
585,2.0
586,11.0
587,8.0
588,14.0
589,20.0
590,31.0
591,13.0
592,6.0
593,71.0
594,5.0
595,5.0
596,9.0
597,0.0
598,1.0
599,18.0
600,8.0
601,20.0
602,20.0
603,33.0
604,30.0
605,4.0
606,33.0
607,4.0
608,10.0
609,5.0
610,1.0
611,1.0
612,22.0
613,13.0
614,24.0
615,32.0
616,50.0
617,76.0
618,35.0
619,11.0
620,61.0
621,8.0
622,7.0
623,7.0
624,2.0
625,3.0
626,16.0
627,6.0
628,15.0
629,16.0
630,22.0
631,26.0
632,16.0
633,16.0
634,18.0
635,4.0
636,12.0
637,7.0
638,4.0
639,7.0
640,14.0
641,6.0
642,14.0
643,19.0
644,32.0
645,17.0
646,11.0
647,10.0
648,19.0
649,3.0
650,11.0
651,3.0
652,2.0
653,5.0
654,12.0
655,3.0
656,8.0
657,12.0
658,18.0
659,11.0
660,8.0
661,10.0
662,12.0
663,2.0
664,4.0
665,5.0
666,1.0
667,2.0
668,1.0
669,1.0
670,1.0
671,1.0
672,2.0
673,4.0
674,6.0
675,2.0
676,36.0
677,6.0
678,0.0
679,5.0
680,2.0
681,0.0
682,2.0
683,6.0
684,5.0
685,6.0
686,7.0
687,7.0
688,0.0
689,0.0
690,1.0
691,5.0
692,10.0
693,4.0
694,37.0
695,45.0
696,19.0
697,19.0
698,52.0
699,69.0
700,29.0
701,22.0
702,30.0
703,45.0
704,45.0
705,22.0
706,2.0
707,35.0
708,14.0
709,44.0
710,33.0
711,41.0
712,20.0
713,7.0
714,18.0
715,18.0
716,55.0
717,44.0
718,35.0
719,27.0
720,14.0
721,11.0
722,14.0
723,18.0
724,26.0
725,66.0
726,50.0
727,49.0
728,36.0
729,23.0
730,83.0
731,47.0
732,6.0
733,3.0
734,12.0
735,48.0
736,50.0
737,38.0
738,29.0
739,34.0
740,13.0
741,29.0
742,32.0
743,23.0
744,6.0
745,14.0
746,24.0
747,63.0
748,41.0
749,24.0
750,19.0
751,30.0
752,35.0
753,17.0
754,13.0
755,12.0
756,7.0
757,2.0
758,2.0
759,4.0
760,9.0
761,29.0
762,16.0
763,15.0
764,12.0
765,34.0
766,24.0
767,12.0
768,24.0
769,20.0
770,11.0
771,1.0
772,5.0
773,9.0
774,9.0
775,4.0
776,25.0
777,10.0
778,8.0
779,7.0
780,28.0
781,29.0
782,11.0
783,12.0
784,28.0
785,9.0
786,4.0
787,2.0
788,3.0
789,7.0
790,6.0
791,3.0
792,14.0
793,15.0
794,5.0
795,2.0
796,3.0
797,21.0
798,23.0
799,9.0
800,9.0
801,5.0
802,3.0
803,1.0
804,1.0
805,4.0
806,0.0
807,1.0
808,0.0
809,12.0
810,14.0
811,8.0
812,5.0
813,5.0
814,4.0
815,2.0
816,3.0
817,14.0
818,14.0
819,98.0
820,16.0
821,30.0
822,27.0
823,100.0
824,118.0
825,22.0
826,27.0
827,36.0
828,64.0
829,109.0
830,28.0
831,57.0
832,15.0
833,16.0
834,24.0
835,67.0
836,83.0
837,129.0
838,33.0
839,63.0
840,0.0
841,29.0
842,16.0
843,18.0
844,12.0
845,35.0
846,73.0
847,88.0
848,135.0
849,32.0
850,17.0
851,57.0
852,0.0
853,69.0
854,39.0
855,9.0
856,17.0
857,12.0
858,16.0
859,40.0
860,47.0
861,46.0
862,90.0
863,36.0
864,20.0
865,50.0
866,0.0
867,28.0
868,19.0
869,14.0
870,30.0
871,22.0
872,12.0
873,25.0
874,68.0
875,73.0
876,81.0
877,119.0
878,37.0
879,15.0
880,58.0
881,58.0
882,0.0
883,36.0
884,20.0
885,25.0
886,34.0
887,31.0
888,14.0
889,12.0
890,36.0
891,16.0
892,38.0
893,46.0
894,97.0
895,23.0
896,20.0
897,6.0
898,31.0
899,42.0
900,0.0
901,15.0
902,9.0
903,35.0
904,13.0
905,10.0
906,7.0
907,6.0
908,17.0
909,13.0
910,19.0
911,16.0
912,25.0
913,15.0
914,14.0
915,7.0
916,21.0
917,25.0
918,0.0
919,18.0
920,10.0
921,8.0
922,28.0
923,16.0
924,0.0
925,4.0
926,8.0
927,2.0
928,8.0
929,8.0
930,7.0
931,12.0
932,3.0
933,4.0
934,1.0
935,5.0
936,10.0
937,0.0
938,4.0
939,3.0
940,1.0
941,2.0
942,2.0
943,1.0
944,6.0
945,11.0
946,8.0
947,11.0
948,11.0
949,12.0
950,18.0
951,2.0
952,2.0
953,4.0
954,7.0
955,13.0
956,0.0
957,10.0
958,7.0
959,2.0
960,0.0
961,0.0
962,1.0
963,0.0
964,5.0
965,2.0
966,4.0
967,4.0
968,5.0
969,7.0
970,4.0
971,3.0
972,0.0
973,10.0
974,1.0
975,0.0
976,2.0
977,1.0
978,0.0
979,13.0
980,66.0
981,5.0
982,34.0
983,53.0
984,40.0
985,2.0
986,21.0
987,34.0
988,26.0
989,13.0
990,10.0
991,35.0
992,39.0
993,33.0
994,12.0
995,5.0
996,67.0
997,59.0
998,61.0
999,47.0
1000,29.0
1001,71.0
1002,7.0
1003,50.0
1004,32.0
1005,17.0
1006,14.0
1007,4.0
1008,42.0
1009,11.0
1010,30.0
1011,49.0
1012,33.0
1013,22.0
1014,9.0
1015,62.0
1016,17.0
1017,31.0
1018,36.0
1019,27.0
1020,17.0
1021,13.0
1022,2.0
1023,34.0
1024,50.0
1025,33.0
1026,7.0
1027,21.0
1028,28.0
1029,41.0
1030,18.0
1031,14.0
1032,11.0
1033,2.0
1034,30.0
1035,29.0
1036,38.0
1037,26.0
1038,18.0
1039,8.0
1040,10.0
1041,25.0
1042,10.0
1043,4.0
1044,5.0
1045,3.0
1046,11.0
1047,25.0
1048,9.0
1049,7.0
1050,11.0
1051,21.0
1052,0.0
1053,7.0
1054,8.0
1055,14.0
1056,9.0
1057,7.0
1058,7.0
1059,3.0
1060,8.0
1061,15.0
1062,11.0
1063,4.0
1064,18.0
1065,25.0
1066,2.0
1067,3.0
1068,0.0
1069,5.0
1070,7.0
1071,9.0
1072,8.0
1073,3.0
1074,19.0
1075,18.0
1076,4.0
1077,2.0
1078,13.0
1079,114.0
1080,40.0
1081,167.0
1082,54.0
1083,50.0
1084,25.0
1085,5.0
1086,5.0
1087,91.0
1088,59.0
1089,0.0
