Index,Count
1,30.0
2,43.0
3,26.0
4,33.0
5,54.0
6,28.0
7,59.0
8,92.0
9,35.0
10,23.0
11,25.0
12,45.0
13,21.0
14,61.0
15,41.0
16,75.0
17,177.0
18,53.0
19,43.0
20,19.0
21,40.0
22,15.0
23,24.0
24,58.0
25,38.0
26,80.0
27,185.0
28,63.0
29,50.0
30,25.0
31,36.0
32,11.0
33,21.0
34,28.0
35,91.0
36,42.0
37,100.0
38,166.0
39,63.0
40,31.0
41,11.0
42,58.0
43,46.0
44,8.0
45,10.0
46,26.0
47,62.0
48,43.0
49,102.0
50,199.0
51,55.0
52,45.0
53,13.0
54,34.0
55,9.0
56,6.0
57,3.0
58,10.0
59,18.0
60,53.0
61,43.0
62,72.0
63,121.0
64,49.0
65,49.0
66,48.0
67,50.0
68,11.0
69,32.0
70,16.0
71,13.0
72,8.0
73,19.0
74,22.0
75,22.0
76,15.0
77,25.0
78,44.0
79,17.0
80,14.0
81,25.0
82,14.0
83,4.0
84,5.0
85,8.0
86,18.0
87,11.0
88,11.0
89,10.0
90,11.0
91,11.0
92,5.0
93,12.0
94,16.0
95,11.0
96,10.0
97,7.0
98,12.0
99,4.0
100,4.0
101,4.0
102,6.0
103,0.0
104,3.0
105,2.0
106,6.0
107,5.0
108,4.0
109,6.0
110,6.0
111,11.0
112,2.0
113,0.0
114,6.0
115,10.0
116,7.0
117,2.0
118,3.0
119,5.0
120,3.0
121,0.0
122,0.0
123,0.0
124,3.0
125,2.0
126,2.0
127,5.0
128,5.0
129,7.0
130,5.0
131,5.0
132,1.0
133,9.0
134,4.0
135,47.0
136,54.0
137,32.0
138,9.0
139,13.0
140,70.0
141,79.0
142,89.0
143,36.0
144,37.0
145,7.0
146,8.0
147,57.0
148,63.0
149,85.0
150,45.0
151,45.0
152,35.0
153,29.0
154,3.0
155,5.0
156,7.0
157,38.0
158,45.0
159,60.0
160,37.0
161,33.0
162,24.0
163,25.0
164,12.0
165,15.0
166,15.0
167,14.0
168,16.0
169,68.0
170,70.0
171,86.0
172,38.0
173,21.0
174,18.0
175,50.0
176,20.0
177,31.0
178,7.0
179,9.0
180,13.0
181,71.0
182,87.0
183,97.0
184,109.0
185,49.0
186,35.0
187,25.0
188,38.0
189,20.0
190,45.0
191,4.0
192,6.0
193,6.0
194,57.0
195,74.0
196,90.0
197,107.0
198,50.0
199,52.0
200,44.0
201,41.0
202,24.0
203,55.0
204,52.0
205,5.0
206,9.0
207,10.0
208,48.0
209,60.0
210,67.0
211,77.0
212,20.0
213,14.0
214,82.0
215,75.0
216,71.0
217,0.0
218,36.0
219,15.0
220,9.0
221,13.0
222,21.0
223,1.0
224,2.0
225,4.0
226,16.0
227,18.0
228,24.0
229,25.0
230,19.0
231,13.0
232,32.0
233,18.0
234,13.0
235,0.0
236,10.0
237,4.0
238,0.0
239,9.0
240,10.0
241,3.0
242,1.0
243,0.0
244,1.0
245,7.0
246,10.0
247,17.0
248,23.0
249,7.0
250,4.0
251,3.0
252,7.0
253,9.0
254,10.0
255,0.0
256,2.0
257,2.0
258,4.0
259,5.0
260,4.0
261,2.0
262,1.0
263,1.0
264,1.0
265,6.0
266,10.0
267,16.0
268,20.0
269,7.0
270,9.0
271,3.0
272,7.0
273,6.0
274,7.0
275,0.0
276,3.0
277,0.0
278,21.0
279,47.0
280,21.0
281,6.0
282,2.0
283,2.0
284,4.0
285,8.0
286,9.0
287,10.0
288,13.0
289,1.0
290,0.0
291,13.0
292,2.0
293,65.0
294,59.0
295,0.0
296,15.0
297,6.0
298,1.0
299,2.0
300,1.0
301,1.0
302,3.0
303,6.0
304,6.0
305,1.0
306,4.0
307,6.0
308,10.0
309,17.0
310,0.0
311,1.0
312,4.0
313,14.0
314,16.0
315,20.0
316,11.0
317,9.0
318,3.0
319,3.0
320,5.0
321,7.0
322,5.0
323,5.0
324,5.0
325,2.0
326,10.0
327,2.0
328,5.0
329,5.0
330,2.0
331,3.0
332,5.0
333,7.0
334,6.0
335,7.0
336,7.0
337,3.0
338,9.0
339,4.0
340,2.0
341,1.0
342,4.0
343,2.0
344,10.0
345,12.0
346,10.0
347,11.0
348,12.0
349,6.0
350,10.0
351,3.0
352,0.0
353,1.0
354,0.0
355,3.0
356,0.0
357,4.0
358,3.0
359,3.0
360,4.0
361,6.0
362,5.0
363,1.0
364,0.0
365,0.0
366,0.0
367,1.0
368,2.0
369,6.0
370,5.0
371,10.0
372,9.0
373,9.0
374,9.0
375,9.0
376,10.0
377,3.0
378,3.0
379,0.0
380,5.0
381,1.0
382,0.0
383,3.0
384,1.0
385,1.0
386,2.0
387,1.0
388,7.0
389,10.0
390,9.0
391,11.0
392,12.0
393,5.0
394,2.0
395,0.0
396,5.0
397,1.0
398,0.0
399,2.0
400,1.0
401,0.0
402,2.0
403,0.0
404,3.0
405,3.0
406,3.0
407,3.0
408,5.0
