Index,Count
1,30.0
2,43.0
3,31.0
4,33.0
5,54.0
6,29.0
7,58.0
8,92.0
9,36.0
10,23.0
11,25.0
12,46.0
13,21.0
14,62.0
15,42.0
16,74.0
17,192.0
18,53.0
19,43.0
20,19.0
21,40.0
22,15.0
23,24.0
24,60.0
25,38.0
26,82.0
27,194.0
28,66.0
29,51.0
30,25.0
31,36.0
32,10.0
33,21.0
34,28.0
35,94.0
36,42.0
37,100.0
38,176.0
39,63.0
40,34.0
41,11.0
42,57.0
43,50.0
44,9.0
45,10.0
46,27.0
47,65.0
48,44.0
49,101.0
50,207.0
51,57.0
52,51.0
53,13.0
54,35.0
55,10.0
56,6.0
57,3.0
58,10.0
59,19.0
60,53.0
61,43.0
62,72.0
63,132.0
64,47.0
65,44.0
66,48.0
67,50.0
68,11.0
69,32.0
70,15.0
71,13.0
72,8.0
73,19.0
74,22.0
75,22.0
76,15.0
77,24.0
78,44.0
79,13.0
80,14.0
81,25.0
82,14.0
83,4.0
84,5.0
85,8.0
86,17.0
87,11.0
88,11.0
89,10.0
90,11.0
91,11.0
92,5.0
93,9.0
94,16.0
95,7.0
96,10.0
97,7.0
98,11.0
99,4.0
100,4.0
101,4.0
102,6.0
103,0.0
104,3.0
105,2.0
106,6.0
107,5.0
108,4.0
109,6.0
110,6.0
111,11.0
112,0.0
113,0.0
114,6.0
115,10.0
116,7.0
117,2.0
118,3.0
119,5.0
120,3.0
121,0.0
122,0.0
123,0.0
124,3.0
125,2.0
126,2.0
127,5.0
128,5.0
129,7.0
130,2.0
131,5.0
132,1.0
133,9.0
134,4.0
135,45.0
136,54.0
137,31.0
138,9.0
139,13.0
140,71.0
141,77.0
142,87.0
143,36.0
144,43.0
145,7.0
146,8.0
147,59.0
148,66.0
149,85.0
150,46.0
151,52.0
152,44.0
153,32.0
154,3.0
155,5.0
156,7.0
157,38.0
158,44.0
159,59.0
160,39.0
161,44.0
162,26.0
163,24.0
164,12.0
165,13.0
166,15.0
167,14.0
168,16.0
169,68.0
170,68.0
171,86.0
172,37.0
173,19.0
174,17.0
175,51.0
176,21.0
177,37.0
178,7.0
179,9.0
180,13.0
181,72.0
182,88.0
183,91.0
184,106.0
185,52.0
186,40.0
187,29.0
188,40.0
189,21.0
190,49.0
191,4.0
192,6.0
193,6.0
194,58.0
195,74.0
196,85.0
197,103.0
198,55.0
199,52.0
200,43.0
201,42.0
202,24.0
203,66.0
204,56.0
205,5.0
206,9.0
207,10.0
208,48.0
209,59.0
210,63.0
211,75.0
212,21.0
213,11.0
214,85.0
215,79.0
216,70.0
217,0.0
218,38.0
219,15.0
220,9.0
221,13.0
222,22.0
223,1.0
224,2.0
225,4.0
226,17.0
227,17.0
228,22.0
229,22.0
230,19.0
231,12.0
232,32.0
233,14.0
234,13.0
235,0.0
236,10.0
237,4.0
238,0.0
239,8.0
240,10.0
241,2.0
242,1.0
243,0.0
244,1.0
245,7.0
246,11.0
247,17.0
248,23.0
249,7.0
250,4.0
251,3.0
252,7.0
253,9.0
254,8.0
255,0.0
256,2.0
257,2.0
258,3.0
259,4.0
260,4.0
261,2.0
262,1.0
263,1.0
264,1.0
265,7.0
266,11.0
267,16.0
268,20.0
269,7.0
270,8.0
271,3.0
272,7.0
273,6.0
274,6.0
275,0.0
276,3.0
277,0.0
278,25.0
279,50.0
280,21.0
281,5.0
282,2.0
283,2.0
284,4.0
285,8.0
286,10.0
287,9.0
288,12.0
289,1.0
290,0.0
291,12.0
292,2.0
293,63.0
294,60.0
295,0.0
296,16.0
297,7.0
298,1.0
299,2.0
300,1.0
301,1.0
302,2.0
303,6.0
304,5.0
305,1.0
306,4.0
307,3.0
308,10.0
309,16.0
310,0.0
311,1.0
312,4.0
313,14.0
314,15.0
315,20.0
316,11.0
317,9.0
318,3.0
319,3.0
320,5.0
321,7.0
322,5.0
323,3.0
324,4.0
325,2.0
326,10.0
327,2.0
328,4.0
329,5.0
330,2.0
331,3.0
332,6.0
333,7.0
334,5.0
335,5.0
336,6.0
337,3.0
338,9.0
339,4.0
340,2.0
341,0.0
342,4.0
343,2.0
344,10.0
345,10.0
346,9.0
347,9.0
348,11.0
349,4.0
350,10.0
351,3.0
352,0.0
353,0.0
354,0.0
355,3.0
356,0.0
357,4.0
358,3.0
359,3.0
360,4.0
361,6.0
362,4.0
363,1.0
364,0.0
365,0.0
366,0.0
367,0.0
368,2.0
369,5.0
370,5.0
371,10.0
372,9.0
373,9.0
374,6.0
375,6.0
376,7.0
377,2.0
378,3.0
379,0.0
380,5.0
381,1.0
382,0.0
383,3.0
384,0.0
385,1.0
386,2.0
387,1.0
388,7.0
389,10.0
390,7.0
391,8.0
392,9.0
393,2.0
394,2.0
395,0.0
396,5.0
397,1.0
398,0.0
399,1.0
400,1.0
401,0.0
402,2.0
403,0.0
404,3.0
405,3.0
406,3.0
407,3.0
408,5.0
