Index,Count
1,33.0
2,41.0
3,27.0
4,38.0
5,51.0
6,29.0
7,60.0
8,99.0
9,29.0
10,25.0
11,25.0
12,47.0
13,22.0
14,57.0
15,41.0
16,74.0
17,189.0
18,30.0
19,45.0
20,18.0
21,46.0
22,19.0
23,25.0
24,50.0
25,47.0
26,82.0
27,177.0
28,41.0
29,50.0
30,26.0
31,46.0
32,11.0
33,9.0
34,28.0
35,84.0
36,43.0
37,95.0
38,170.0
39,62.0
40,29.0
41,12.0
42,45.0
43,55.0
44,11.0
45,7.0
46,22.0
47,59.0
48,55.0
49,55.0
50,155.0
51,63.0
52,50.0
53,12.0
54,37.0
55,10.0
56,4.0
57,3.0
58,10.0
59,18.0
60,55.0
61,43.0
62,67.0
63,137.0
64,42.0
65,47.0
66,45.0
67,49.0
68,12.0
69,33.0
70,15.0
71,15.0
72,8.0
73,19.0
74,22.0
75,20.0
76,15.0
77,23.0
78,46.0
79,11.0
80,14.0
81,24.0
82,15.0
83,4.0
84,5.0
85,9.0
86,20.0
87,12.0
88,10.0
89,10.0
90,11.0
91,11.0
92,4.0
93,10.0
94,16.0
95,8.0
96,10.0
97,7.0
98,12.0
99,4.0
100,4.0
101,5.0
102,8.0
103,0.0
104,3.0
105,1.0
106,5.0
107,6.0
108,4.0
109,7.0
110,6.0
111,11.0
112,0.0
113,0.0
114,6.0
115,8.0
116,7.0
117,2.0
118,3.0
119,5.0
120,4.0
121,0.0
122,0.0
123,0.0
124,3.0
125,2.0
126,2.0
127,5.0
128,5.0
129,7.0
130,2.0
131,5.0
132,1.0
133,8.0
134,4.0
135,44.0
136,55.0
137,42.0
138,8.0
139,12.0
140,70.0
141,76.0
142,89.0
143,35.0
144,45.0
145,7.0
146,8.0
147,55.0
148,62.0
149,87.0
150,81.0
151,28.0
152,39.0
153,40.0
154,2.0
155,5.0
156,6.0
157,42.0
158,47.0
159,57.0
160,54.0
161,40.0
162,26.0
163,26.0
164,12.0
165,12.0
166,15.0
167,15.0
168,18.0
169,65.0
170,77.0
171,83.0
172,39.0
173,25.0
174,20.0
175,51.0
176,23.0
177,41.0
178,6.0
179,10.0
180,13.0
181,67.0
182,93.0
183,89.0
184,109.0
185,61.0
186,23.0
187,39.0
188,40.0
189,21.0
190,54.0
191,4.0
192,6.0
193,6.0
194,55.0
195,81.0
196,79.0
197,104.0
198,61.0
199,32.0
200,37.0
201,46.0
202,24.0
203,48.0
204,61.0
205,4.0
206,9.0
207,8.0
208,47.0
209,65.0
210,64.0
211,79.0
212,22.0
213,10.0
214,85.0
215,55.0
216,46.0
217,0.0
218,39.0
219,18.0
220,9.0
221,13.0
222,22.0
223,1.0
224,2.0
225,5.0
226,18.0
227,15.0
228,19.0
229,23.0
230,19.0
231,12.0
232,32.0
233,22.0
234,16.0
235,0.0
236,10.0
237,5.0
238,0.0
239,10.0
240,12.0
241,3.0
242,1.0
243,0.0
244,1.0
245,7.0
246,12.0
247,14.0
248,20.0
249,7.0
250,4.0
251,3.0
252,8.0
253,9.0
254,8.0
255,0.0
256,2.0
257,2.0
258,3.0
259,7.0
260,4.0
261,2.0
262,1.0
263,1.0
264,1.0
265,6.0
266,2.0
267,16.0
268,16.0
269,7.0
270,8.0
271,3.0
272,7.0
273,15.0
274,11.0
275,0.0
276,3.0
277,1.0
278,23.0
279,33.0
280,25.0
281,6.0
282,2.0
283,2.0
284,3.0
285,8.0
286,10.0
287,13.0
288,18.0
289,5.0
290,0.0
291,13.0
292,-7.0
293,50.0
294,43.0
295,0.0
296,17.0
297,7.0
298,1.0
299,2.0
300,1.0
301,1.0
302,4.0
303,4.0
304,5.0
305,1.0
306,7.0
307,4.0
308,11.0
309,16.0
310,0.0
311,1.0
312,4.0
313,15.0
314,17.0
315,20.0
316,12.0
317,10.0
318,3.0
319,3.0
320,5.0
321,8.0
322,3.0
323,5.0
324,4.0
325,1.0
326,11.0
327,2.0
328,5.0
329,4.0
330,2.0
331,3.0
332,7.0
333,3.0
334,5.0
335,5.0
336,7.0
337,3.0
338,10.0
339,4.0
340,2.0
341,1.0
342,3.0
343,2.0
344,9.0
345,10.0
346,9.0
347,12.0
348,10.0
349,4.0
350,10.0
351,3.0
352,0.0
353,1.0
354,0.0
355,3.0
356,0.0
357,4.0
358,2.0
359,2.0
360,3.0
361,3.0
362,5.0
363,2.0
364,0.0
365,0.0
366,1.0
367,1.0
368,1.0
369,5.0
370,5.0
371,10.0
372,9.0
373,8.0
374,7.0
375,7.0
376,15.0
377,3.0
378,3.0
379,0.0
380,5.0
381,3.0
382,0.0
383,3.0
384,1.0
385,1.0
386,2.0
387,1.0
388,5.0
389,7.0
390,8.0
391,7.0
392,11.0
393,5.0
394,2.0
395,0.0
396,6.0
397,3.0
398,0.0
399,2.0
400,3.0
401,0.0
402,2.0
403,0.0
404,3.0
405,1.0
406,0.0
407,4.0
408,4.0
409,1.0
410,3.0
411,0.0
412,0.0
413,0.0
414,2.0
415,4.0
416,0.0
417,1.0
