Index,Count
1,22
2,24
3,16
4,28
5,34
6,38
7,47
8,50
9,18
10,21
11,19
12,40
13,26
14,40
15,52
16,62
17,117
18,38
19,33
20,17
21,31
22,25
23,22
24,36
25,49
26,63
27,126
28,36
29,34
30,19
31,27
32,24
33,33
34,27
35,60
36,58
37,85
38,96
39,35
40,19
41,8
42,51
43,69
44,4
45,14
46,34
47,30
48,51
49,82
50,141
51,26
52,36
53,7
54,31
55,12
56,7
57,3
58,17
59,17
60,37
61,52
62,61
63,69
64,59
65,24
66,24
67,36
68,8
69,28
70,11
71,13
72,11
73,26
74,22
75,11
76,19
77,19
78,26
79,16
80,10
81,11
82,13
83,2
84,3
85,6
86,26
87,10
88,16
89,12
90,7
91,6
92,6
93,7
94,11
95,10
96,8
97,1
98,4
99,3
100,4
101,5
102,10
103,0
104,3
105,4
106,7
107,3
108,5
109,3
110,6
111,10
112,2
113,0
114,2
115,8
116,4
117,1
118,2
119,6
120,2
121,0
122,0
123,1
124,5
125,1
126,2
127,2
128,5
129,2
130,3
131,4
132,0
133,8
134,2
135,23
136,63
137,24
138,9
139,10
140,40
141,63
142,88
143,16
144,34
145,5
146,11
147,38
148,51
149,108
150,29
151,0
152,11
153,29
154,4
155,5
156,6
157,25
158,37
159,69
160,22
161,0
162,5
163,13
164,12
165,13
166,17
167,15
168,14
169,45
170,64
171,109
172,24
173,0
174,13
175,30
176,21
177,24
178,8
179,9
180,15
181,43
182,80
183,0
184,166
185,29
186,0
187,7
188,20
189,20
190,40
191,8
192,5
193,7
194,36
195,65
196,0
197,169
198,26
199,0
200,7
201,36
202,24
203,44
204,156
205,10
206,8
207,9
208,30
209,56
210,0
211,113
212,10
213,11
214,115
215,0
216,23
217,26
218,43
219,13
220,8
221,12
222,34
223,0
224,2
225,4
226,11
227,15
228,0
229,41
230,10
231,10
232,56
233,0
234,7
235,37
236,10
237,3
238,0
239,8
240,6
241,3
242,0
243,0
244,0
245,0
246,3
247,0
248,51
249,1
250,4
251,5
252,2
253,0
254,8
255,7
256,2
257,5
258,3
259,4
260,2
261,1
262,0
263,0
264,1
265,0
266,4
267,0
268,47
269,3
270,6
271,6
272,1
273,0
274,7
275,5
276,3
277,2
278,21
279,27
280,13
281,7
282,0
283,2
284,4
285,3
286,7
287,0
288,24
289,10
290,0
291,18
292,14
293,0
294,31
295,2
296,22
297,9
298,0
299,0
300,0
301,0
302,2
303,1
304,4
305,0
306,2
307,2
308,5
309,9
310,0
311,1
312,1
