Index,Count
1,29.0
2,31.5
3,24.0
4,35.0
5,39.5
6,46.0
7,54.5
8,57.5
9,26.3333333333
10,23.5
11,25.5
12,45.5
13,32.0
14,46.0
15,62.0
16,72.5
17,130.5
18,47.3333333333
19,38.5
20,21.0
21,38.0
22,25.0
23,27.5
24,42.0
25,58.5
26,74.5
27,135.0
28,47.3333333333
29,42.0
30,26.0
31,33.5
32,26.5
33,33.0
34,34.5
35,67.5
36,67.0
37,96.0
38,108.0
39,46.0
40,26.5
41,11.0
42,58.5
43,77.5
44,8.5
45,14.0
46,38.0
47,41.5
48,62.0
49,92.5
50,150.5
51,41.6666666667
52,43.0
53,10.0
54,37.5
55,14.0
56,10.0
57,3.0
58,17.0
59,17.0
60,42.0
61,59.0
62,69.0
63,74.5
64,59.0
65,24.0
66,33.6666666667
67,42.0
68,12.5
69,33.0
70,18.5
71,18.5
72,11.0
73,26.0
74,22.0
75,15.5
76,24.0
77,23.5
78,29.0
79,16.0
80,10.0
81,17.0
82,16.0
83,4.0
84,5.0
85,6.0
86,31.5
87,13.0
88,16.0
89,12.0
90,7.0
91,8.0
92,8.5
93,10.5
94,11.5
95,10.0
96,8.0
97,5.33333333333
98,8.5
99,3.5
100,4.5
101,5.0
102,12.0
103,0.5
104,3.0
105,4.0
106,7.0
107,5.5
108,8.0
109,7.0
110,6.0
111,10.0
112,2.0
113,0.0
114,3.33333333333
115,8.0
116,6.0
117,2.5
118,4.0
119,6.0
120,3.0
121,0.5
122,0.0
123,1.0
124,5.0
125,1.5
126,2.5
127,3.5
128,5.0
129,2.0
130,3.0
131,4.0
132,1.66666666667
133,8.0
134,3.0
135,30.5
136,70.0
137,29.0
138,13.5
139,15.0
140,50.0
141,72.5
142,99.5
143,30.4
144,34.0
145,7.5
146,15.5
147,42.5
148,61.5
149,114.0
150,40.2
151,0.0
152,11.0
153,29.0
154,6.5
155,7.0
156,10.0
157,31.0
158,45.0
159,77.5
160,35.2
161,0.0
162,5.0
163,18.0
164,14.0
165,13.0
166,23.0
167,18.5
168,19.5
169,52.0
170,68.0
171,114.0
172,33.8
173,0.0
174,13.0
175,38.5
176,24.5
177,24.0
178,13.0
179,13.5
180,20.5
181,53.0
182,80.0
183,0.0
184,166.0
185,42.2
186,0.0
187,7.0
188,26.5
189,24.5
190,40.0
191,11.5
192,9.0
193,11.0
194,43.5
195,65.0
196,0.0
197,169.0
198,43.6
199,0.0
200,7.0
201,39.5
202,28.0
203,44.0
204,156.0
205,13.0
206,11.0
207,14.5
208,37.5
209,56.0
210,0.0
211,113.0
212,19.0
213,14.5
214,115.0
215,0.0
216,23.0
217,26.0
218,43.0
219,13.0
220,12.0
221,12.0
222,34.0
223,2.0
224,4.0
225,8.5
226,13.0
227,15.0
228,0.0
229,41.0
230,20.4
231,17.0
232,56.0
233,0.0
234,7.0
235,37.0
236,10.0
237,3.0
238,1.0
239,8.0
240,8.5
241,3.0
242,0.5
243,0.5
244,0.5
245,2.5
246,3.0
247,0.0
248,51.0
249,5.5
250,6.5
251,5.0
252,5.0
253,0.0
254,8.0
255,7.0
256,2.0
257,5.0
258,5.0
259,4.0
260,2.5
261,1.0
262,2.5
263,2.5
264,2.5
265,2.5
266,4.0
267,0.0
268,47.0
269,7.75
270,10.5
271,6.0
272,7.0
273,0.0
274,7.0
275,5.0
276,3.0
277,2.0
278,26.0
279,27.0
280,16.5
281,7.0
282,1.0
283,2.5
284,7.5
285,5.0
286,7.0
287,0.0
288,24.0
289,14.5
290,0.5
291,18.0
292,18.6666666667
293,0.0
294,31.0
295,2.0
296,22.0
297,9.0
298,1.0
299,1.0
300,2.5
301,1.0
302,3.0
303,3.5
304,6.5
305,1.5
306,3.5
307,5.0
308,7.5
309,12.0
310,1.0
311,2.5
312,3.5
313,9.5
314,14.5
315,8.5
316,9.5
317,5.0
318,5.5
319,4.5
320,8.0
321,5.0
322,5.0
323,1.0
324,1.0
325,1.0
326,7.5
327,3.5
328,7.0
329,4.5
330,3.0
331,5.33333333333
332,4.5
333,7.0
334,0.0
335,0.0
336,3.0
337,1.5
338,6.5
339,6.0
340,3.0
341,1.5
342,6.0
343,4.66666666667
344,7.0
345,12.0
346,0.0
347,0.0
348,2.0
349,4.0
350,7.0
351,6.0
352,0.5
353,1.0
354,1.0
355,1.5
356,1.66666666667
357,2.0
358,3.0
359,0.0
360,0.0
361,4.0
362,4.0
363,1.0
364,0.0
365,0.5
366,1.5
367,1.5
368,2.0
369,10.5
370,8.5
371,12.0
372,7.5
373,9.0
374,0.0
375,0.0
376,1.0
377,1.5
378,3.0
379,24.0
380,7.0
381,2.0
382,1.5
383,2.0
384,1.0
385,2.5
386,2.0
387,2.0
388,5.0
389,10.0
390,0.0
391,0.0
392,3.0
393,3.0
394,2.0
395,1.0
396,9.0
397,2.0
398,0.5
399,1.5
400,1.0
401,0.5
402,1.5
403,0.333333333333
404,1.5
405,3.0
406,0.0
407,0.0
408,2.0
409,0.5
410,3.0
411,0.0
412,2.0
413,2.0
414,2.0
415,2.5
416,2.0
417,2.0
418,4.5
419,4.0
420,5.0
421,4.0
422,2.0
423,5.5
424,5.5
425,8.0
426,4.0
427,3.0
428,3.5
429,5.5
430,10.0
431,0.0
432,3.3
433,5.0
434,3.0
435,2.0
436,2.5
437,2.5
438,1.0
439,0.0
440,0.0
441,0.0
442,2.0
443,8.25
444,4.0
445,11.3333333333
446,1.5
447,23.0
448,3.0
449,1.5
450,3.0
451,2.0
452,4.0
453,3.0
454,0.0
455,12.0
456,8.33333333333
457,4.0
458,4.0
459,12.6666666667
460,4.0
461,22.0
462,0.0
463,2.0
464,0.5
465,1.5
466,2.0
467,2.0
468,0.0
469,2.0
470,1.0
471,1.5
472,1.0
473,1.0
474,0.5
475,2.5
476,1.0
477,4.0
478,2.5
479,6.5
480,4.0
481,4.0
482,5.0
483,0.0
484,10.0
485,3.33333333333
486,1.0
487,8.0
488,17.0
489,2.5
490,6.5
491,3.0
492,3.5
493,6.0
494,2.0
495,2.0
496,2.5
497,1.0
498,2.5
499,2.0
500,0.0
501,2.0
502,14.6666666667
503,22.0
504,3.0
505,3.0
506,4.5
507,11.5
508,9.0
509,1.5
510,4.5
511,7.0
512,2.0
513,3.5
514,7.0
515,6.0
516,8.0
517,0.0
518,0.0
519,8.0
520,15.0
521,18.5
522,0.0
523,4.0
524,1.0
525,2.0
526,1.0
527,4.5
528,8.0
529,1.0
530,5.5
531,7.5
532,4.5
533,5.0
534,5.0
535,0.0
536,0.0
537,17.0
538,6.66666666667
539,1.5
540,2.0
541,7.0
542,0.5
543,211.5
544,0.0
545,5.0
546,2.0
547,127.5
548,1.0
549,4.0
550,8.5
551,3.0
552,4.5
553,4.0
554,0.0
555,0.0
556,10.0
557,9.0
558,8.5
559,2.0
560,14.0
561,4.0
562,9.0
563,7.0
564,5.0
565,2.0
566,12.5
567,1.0
568,1.0
569,15.0
570,7.0
571,1.5
572,11.0
573,12.5
574,62.0
575,11.5
576,5.0
577,9.5
578,14.0
579,29.0
580,35.5
581,10.5
582,210.0
583,8.0
584,6.5
585,4.0
586,9.0
587,11.0
588,13.0
589,22.0
590,19.5
591,13.2
592,10.5
593,63.0
594,10.0
595,9.5
596,14.5
597,1.5
598,5.0
599,13.5
600,12.0
601,17.0
602,24.0
603,21.5
604,40.4
605,8.0
606,27.0
607,8.0
608,13.5
609,5.5
610,2.5
611,3.5
612,18.0
613,20.0
614,23.0
615,35.0
616,33.5
617,108.8
618,14.0
619,2.0
620,43.0
621,13.0
622,7.5
623,9.5
624,3.0
625,6.5
626,12.5
627,12.0
628,16.0
629,16.0
630,14.5
631,33.4
632,21.0
633,9.0
634,18.5
635,5.0
636,13.5
637,8.5
638,7.0
639,9.5
640,10.5
641,11.0
642,12.0
643,22.0
644,23.5
645,18.6
646,14.0
647,3.0
648,18.0
649,5.0
650,13.0
651,4.5
652,3.5
653,6.5
654,8.5
655,6.5
656,10.0
657,14.0
658,14.0
659,10.2
660,12.0
661,4.0
662,13.0
663,3.5
664,5.0
665,4.5
666,2.5
667,4.0
668,1.5
669,1.5
670,2.0
671,1.0
672,2.5
673,4.5
674,9.0
675,0.0
676,21.6666666667
677,5.5
678,1.5
679,4.5
680,3.5
681,3.0
682,2.5
683,5.5
684,7.0
685,8.0
686,7.0
687,4.0
688,1.25
689,0.0
690,1.0
691,4.0
692,6.0
693,6.0
694,24.0
695,40.5
696,29.5
697,22.5
698,65.0
699,59.0
700,40.0
701,38.5
702,36.5
703,66.0
704,40.5
705,37.0
706,4.5
707,37.0
708,16.0
709,57.0
710,9.0
711,36.5
712,31.0
713,11.5
714,20.5
715,16.0
716,76.0
717,8.0
718,29.5
719,45.0
720,19.0
721,19.0
722,24.0
723,26.0
724,22.5
725,90.0
726,10.0
727,41.0
728,56.0
729,28.5
730,18.0
731,74.0
732,13.0
733,6.5
734,12.0
735,65.5
736,63.4
737,55.0
738,3.0
739,13.5
740,23.0
741,42.0
742,42.0
743,34.0
744,9.0
745,24.0
746,21.0
747,82.0
748,39.0
749,35.0
750,2.0
751,46.0
752,17.0
753,30.0
754,20.5
755,29.0
756,11.0
